id,type,question
14,选择,庄国康在治疗黑变病时，以下哪种药物组合不在其药用范围内？A.吴茱萸、续断；B.陈皮、补骨脂；C.茯苓、泽泻；D.麻黄、荆芥。
15,选择,根据朱仁康的临证经验，以下哪种药物不是用于治疗风热久羁型荨麻疹的？A. 乌蛇；B. 黄连；C. 当归；D. 银花
16,选择,邹铭西在治疗湿疹时，以下哪种外用药物使用原则是错误的？A用药薄而均匀；B每日1～2次；C选择几种制剂交替使用；D必须使用有刺激性的药物
17,选择,王文春主任医师在治疗多形性红斑时，针对风寒湿型的治疗原则是？A.温经通络，祛寒化湿；B.清热利湿，凉血解毒；C.滋阴降火，清热解毒；D.疏风清热，宣肺散寒；
18,选择,赵炳南在治疗脚湿气时，主要将癣菌疹归属于哪个范畴？A湿毒疡；B风湿疡；C都是；D都不是
19,选择,以下哪位名医在治疗皮肤病时强调了内外合治的重要性？A.魏跃钢；B.赵炳南；C.庄国康；D.以上均未强调。
20,选择,根据陈凯的临证经验，银屑病患者在治疗时应避免使用哪种类型的外用药？A.无刺激性的单软膏；B.香腊膏；C.糖皮质激素；D.粉剂。
21,选择,张志礼在治疗银屑病时，以下哪个因素不会被考虑？A感染因素；B精神紧张因素；C药物因素；D饮食因素
22,选择,张作舟治疗白癜风的根本病机认为是？A.气血不和；B.肝肾不足；C.瘀血阻络；D.所有上述
23,选择,张志礼教授在治疗掌跖脓疱病时，将本病分为哪两种证型进行治疗？A.血热和湿毒型；B.血瘀和湿毒型；C.血热和脾胃虚弱型；D.湿毒和脾胃虚弱型。
24,选择,庄国康治疗扁平疣时，常采用哪种治疗方法？A解毒化痰活血法；B清热解毒法；C外用药物；D内服药物
25,选择,庄国康治疗黑变病的临证经验中，认为该病的主要病因是什么？A.血热内蕴；B.肾水上泛；C.脾虚湿盛；D.风邪外袭。
26,选择,赵炳南在治疗皮肤病时，对于湿热壅盛、热重于湿型的患者，建议使用以下哪一种方剂加减进行治疗？A萆薢渗湿汤；B五神汤；C清热除湿汤；D龙胆泻肝汤
27,选择,赵炳南治疗疔疮痈疖时，常使用哪些方药？A.龙胆泻肝汤；B.除湿解毒汤；C.生石膏、生玳瑁等；D.全虫方；
28,选择,庄国康在治疗皮肤病血瘀证时，认为与哪些脏器功能失调密切相关？A. 心和肝；B. 心和肺；C. 肝和肾；D. 肺和肾。
29,选择,朱仁康和庄国康在荨麻疹治疗上的主要不同点是什么？A.朱仁康重视外风，庄国康重视内风 B.庄国康重视外风，朱仁康重视内风 C.朱仁康采用分型论治，庄国康注重活血消风 D.庄国康采用分型论治，朱仁康注重活血消风
30,选择,赵炳南在治疗急性湿疹时，多采用什么汤剂？A.除湿解毒汤；B.龙胆泻肝汤；C.疏风除湿汤；D.健脾除湿汤
31,选择,王文春主任医师在治疗多形性红斑时，对于风寒湿型的治疗原则是什么？A.温经通络，祛寒化湿；B.清热利湿，凉血解毒；C.健脾除湿；D.搜风除湿。
32,选择,张志礼在治疗带状疱疹时，将疾病分为哪三个主要证型？A. 肝胆湿热型、脾虚湿盛型、气滞血瘀型；B. 湿热并重证、脾虚湿盛证、血虚风燥证；C. 肝郁气滞型、脾胃虚弱型、气血两虚型；D. 热毒蕴结型、湿毒内蕴型、瘀血阻络型。
33,选择,庄国康名医在治疗顽固性皮肤瘙痒时，以下哪个不是他的核心处方成分？A.生龙骨；B.生牡蛎；C.秦艽；D.麻黄
34,选择,根据张志礼的临证经验，下列哪种症状不属于阳证、实证、热证、表证范畴？A瘙痒或疼痛明显；B大便干、小便黄；C脉象多浮滑数；D慢性溃疡平塌不起
35,选择,赵炳南医生治疗结节性痒疹时，下列哪种药物不是他常用的方药？A荆芥；B防风；C全虫；D黄连。
36,选择,张志礼对于急性湿疹和慢性湿疹的辨证有何不同？A急性湿疹多属阳证，慢性湿疹多属阴证；B急性湿疹多属阴证，慢性湿疹多属阳证；C两者辨证相同；D无法判断。
37,选择,庄国康治疗扁平疣时，如果病情顽固难愈，他会如何治疗？A仅用内服药物；B仅用外用药物；C内外并治；D更换治疗方案
38,选择,庄国康对于连续性肢端皮炎的病因病机认识主要是什么？A湿邪所致；B风热外袭；C血虚风燥；D肝郁化火。
39,选择,庄国康在治疗痤疮和银屑病时，都提到了哪种治法？A.清热解毒；B.活血化瘀；C.凉血法；D.消风法。
40,选择,赵炳南在治疗银屑病时，血燥型的皮疹特征是？A.皮疹多呈点滴状；B.表面鳞屑少附着较紧；C.基底部出血点明显；D.全身症状明显
41,选择,庄国康教授治疗银屑病进行期时，主张使用的方剂是什么？A.克银一方；B.桃红四物汤；C.克银三方化裁；D.没有特别指出的方剂。
42,选择,张志礼教授的清热凉血泻火法主要用于哪些皮肤病的治疗？A天疱疮；B剥脱性皮炎；C急性过敏性皮肤病；D色素性皮肤病
43,选择,庄国康老师在治疗湿疹时，以下哪种治法不是他所提到的？A.滋阴法；B.重镇法；C.健脾法；D.疏风法
44,选择,陈彤云和赵炳南在治疗皮肤病时，以下哪项描述是错误的？A.陈彤云重视肝、心在病理中的重要性；B.赵炳南提出了疏风除湿的治疗方法；C.两位名医都认为风邪是瘙痒发生的重要原因；D.赵炳南治疗时主要关注脾胃。
45,选择,赵炳南认为湿疹发病的主要因素是什么？A. 风；B. 湿；C. 热；D. 寒。
46,选择,赵炳南先生与朱仁康先生在治疗神经性皮炎时的主要不同点是什么？A.赵炳南认为病因是脾经湿热或肺经风毒，而朱仁康认为是七情内伤；B.赵炳南主张内治，朱仁康主张外治；C.赵炳南认为有内湿、外湿之分，朱仁康则没有提到；D.赵炳南与朱仁康在治疗上都使用了消风止痒的方法。
47,选择,以下哪位名医在湿疹治疗中注重清热解毒与攻下泻毒？A.许铣；B.赵炳南；C.顾伯华；D.马绍尧。
48,选择,张芃将痤疮分为四种证型，以下哪种证型不是他所描述的？A. 肺经风热型；B. 湿热蕴结型；C. 痰湿凝结型；D. 肝郁气滞型。
49,选择,以下哪位名医认为荨麻疹的病因与风邪密切相关？A. 赵炳南；B. 庄国康；C. 张志礼；D. 所有以上名医
50,选择,赵炳南治疗湿邪所致皮肤病时，常用的代表方剂是哪一个？A. 苓桂术甘汤；B. 藿香正气散；C. 除湿胃苓汤；D. 龙胆泻肝汤
51,选择,邹铭西认为湿疹的病因以内因为主，以下哪个不是他提到的病因？A湿热；B风；C热；D血瘀。
52,选择,赵炳南和 张志礼在治疗急性湿疹时的主要不同点是什么？A赵炳南注重清热利湿，张志礼注重辨证八纲；B赵炳南注重辨证八纲，张志礼注重清热利湿；C两者治疗方法相同；D两者治疗方法完全不同。
53,选择,以下哪位名医提出了在治疗异位性皮炎时采用健脾消导治其本？A.张志礼；B.庄国康；C.邬成霖；D.无提及。
54,选择,王莒生在治疗白癜风的儿童患者时，主要采用的治法是什么？A.清热解毒；B.健脾消导；C.疏风清热；D.滋阴补肾。
55,选择,庄国康在治疗黑变病时，认为其病机与以下哪个中医理论相关？A脾胃虚弱；B肝气郁结；C肾水上泛；D心血不足。
56,选择,陈勇将寻常型银屑病分为哪三个证型？A血热、血燥、血瘀；B血热、血虚、血瘀；C血燥、血瘀、血虚；D血热、血寒、血瘀；
57,选择,赵炳南在治疗疖肿、丹毒、痱毒时，主要应用的药物是什么？A公英；B丹皮；C赤芍；D黄连软膏；
58,选择,朱仁康在治疗湿疹时，最常采用的健脾利湿药物有哪些？A苍术、陈皮、茯苓；B生地黄、丹皮、赤芍；C茯苓、车前子、泽泻；D黄芩、黄连、黄柏。
59,选择,王文春在学术思想中，认为在诊断肛肠疾病时，哪个诊法最为重要？A.闻诊；B.望诊；C.问诊；D.切诊。
60,选择,以下哪种药物配伍不是赵炳南用于调和阴阳的基本方药“四藤”？A天仙藤；B鸡血藤；C首乌藤；D黄藤。
61,选择,赵炳南先生在治疗皮肤病时认为什么是治疗多种皮肤病的根本？A治湿；B治毒；C治热；D内外兼治
62,选择,张志礼教授在治疗急性活动期病情时，主要依赖什么治疗？A中药治疗；B激素治疗；C免疫抑制剂；D物理治疗。
63,选择,赵炳南治疗皮肤病时，下列哪个观点他并没有提到？A.皮肤病虽形于外，而发于内；B.治疗皮肤病要重视内治法；C.皮肤病治疗应该放弃内治；D.外用药直达病所。
64,选择,赵炳南在治疗天疱疮时的学术思想核心是？A从湿论治；B注重调和阴阳；C从热论治；D注重清热解毒。
65,选择,赵炳南在皮外科辨证首辨阴阳方面，重点是什么？A.辨湿热性；B.辨湿气性；C.辨湿热性和湿气性；D.不辨阴阳。
66,选择,朱仁康在治疗疣类疾病时，使用的经验方中包含哪些具有抗病毒作用的中药？A马齿苋；B大青叶；C紫草；D全部包括
67,选择,赵炳南使用的药物中，哪一种不具有活血养血的作用？A. 天仙藤；B. 鸡血藤；C. 首乌藤；D. 钩藤
68,选择,魏跃钢教授在治疗雄激素性脱发时，第一阶段的主要治疗原则是什么？A清利湿热；B补益脾肾；C祛脂为先；D滋补肝肾。
69,选择,朱仁康在治疗皮肤病时，哪种方式是其特别倡导的？A.仅用中医辨证 B.仅用西医辨病 C.中医辨证与西医辨病相结合 D.主张用整体观念来认识疾病
70,选择,以下哪项是赵炳南关于皮肤病瘙痒的见解？A.瘙痒只是皮肤病的一个小症状，不重要；B.痒为痛之渐，必有共同的致痒病机；C.瘙痒总是由外部因素引起，与内部状态无关；D.只有使用特定的药物才能治疗瘙痒。
71,选择,赵炳南对湿疹的研习思路受到哪本医学经典的启发？A《黄帝内经》；B《医宗金鉴·外科心法要诀》；C《疡科心得集》；D《诸病源候论》
72,选择,赵炳南的学术思想核心是什么？A. 重视整体治疗；B. 仅重视局部治疗；C. 既重视整体又不忽略局部的全面治疗；D. 专注于药物治疗。
73,选择,张志礼认为系统性红斑狼疮的学术思想核心是什么？A.毒热为本；B.湿滞为本；C.虚中挟实；D.虚是本病之本
74,选择,赵炳南名医在治疗湿疡时的学术思想核心是什么？A重视心肝辨证；B善用龙胆泻肝汤；C注重湿热平衡；D主张内外兼治。
75,选择,朱仁康的学术思想认为，皮肤病的治疗应该以什么为主？A外治；B内治；C手术；D药物敷贴
76,选择,"陈彤云和朱仁康两位教授在治疗皮肤病时的主要学术思想有何不同？A.陈教授侧重于辨证论治, 整体合一；B.朱教授侧重于清热解毒；C.陈教授侧重于热毒壅结；D.朱教授侧重于辨证论治。"
77,选择,赵炳南认为治疗多种皮肤病的根本是什么？A.治热；B.治湿；C.内外兼治；D.手术治疗。
78,选择,以下哪位名医认为风邪是银屑病的关键因素？A. 王莒生；B. 赵炳南；C. 王玉玺；D. 都不是
79,选择,赵炳南治疗皮肤病时，阴阳辨证主要考虑哪些方面？A.局部体征；B.整体表现；C.局部体征和整体表现；D.仅考虑病因
80,选择,赵炳南在治疗皮肤病时，以下哪种外治剂是他创用的？A熏药；B拔膏；C黑布药膏；D以上都是
81,选择,以下哪位是赵炳南和陈彤云的共同师傅？A丁德恩；B陈树人；C哈锐川；D章治康；
82,选择,以下哪位不是赵炳南的弟子？A.张志礼；B.陈彤云；C.朱仁康；D.张作舟
83,选择,朱仁康和赵炳南共同的弟子是谁？A. 赵尚华；B. 陈凯；C. 张作舟；D. 无共同弟子
84,选择,赵炳南和朱仁康共同的弟子是谁？A.赵尚华；B.张作舟；C.陈凯；D.陈彤云；
85,选择,赵尚华的弟子贾颖的师公是谁？A丁德恩；B赵炳南；C朱仁康；D章治康；
86,选择,以下哪位是赵炳南的徒孙？A.赵昌兰；B.贾颖；C.张芃；D.李冬梅
87,选择,陈勇的师傅中，哪位同时也是赵炳南的师傅？A.丁德恩；B.陈树人；C.赵炳南；D.哈锐川
88,选择,赵炳南的徒孙有哪些？A.李冬梅；B.张芃；C.赵昌兰；D.贾颖；
89,选择,赵尚华与张作舟共同的师傅是？A.丁德恩；B.赵炳南；C.哈锐川；D.朱仁康
90,选择,陈凯和赵尚华都师从过谁？A.丁德恩；B.赵炳南；C.朱仁康；D.哈锐川
91,选择,赵尚华的师傅有哪些？A.赵炳南；B.朱仁康；C.丁德恩；D.A和B
92,选择,张志礼使用荆芥主要治疗哪种症状？A.脂溢性脱发；B.急性荨麻疹；C.皮肤紫斑；D.所有上述症状
93,选择,张志礼使用首乌藤治疗的主要疾病不包括以下哪一项？A.失眠；B.多汗；C.血虚身痛；D.疮疡。
94,选择,以下哪项不是张志礼所使用的止痒合剂的组成成分？A. 刺蒺藜；B. 白鲜皮；C. 防风；D. 生地炭
95,选择,张志礼教授在治疗系统性红斑狼疮时，所使用的南北沙参共同作用是？A.养阴清热、生津止渴；B.滋阴凉血、补血生津；C.益胃生津、润肺止咳；D.温胃散寒、补气升阳。
96,选择,张志礼在治疗神经性皮炎时常配伍使用的药物是？A.苦参；B.白鲜皮；C.荆芥；D.车前子；
97,选择,赵炳南使用透骨草外洗治疗哪种疾病？A.脂溢性脱发；B.急性荨麻疹；C.皮肤紫斑；D.过敏性紫癜
98,选择,根据张志礼的用药经验，下列关于药物使用描述错误的是？A.羌活可用于治疗脱发、头痒；B.首乌藤可用来调和阴阳气血；C.桑叶可用于治疗下肢象皮肿；D.苦参、白鲜皮可用于治疗皮肤瘙痒
99,选择,朱仁康和赵炳南在治疗疾病时，对生地的使用有什么不同？A. 用量相同；B. 赵炳南用量更大；C. 朱仁康用量更大；D. 用途不同。
100,选择,以下关于张志礼使用的止痒合剂的描述，哪一项是错误的？A. 包含刺蒺藜；B. 用于治疗一切瘙痒性皮肤病；C. 必须与蝉蜕一起使用；D. 可以祛风除湿
101,选择,张志礼使用芍药治疗自汗和盗汗时，主要利用了芍药的哪一种功能？A养血柔肝；B活血凉血；C消肿解毒；D止痛敛汗
102,选择,张志礼使用僵蚕治疗瘰疬时，一般用量是多少？A 1-5克；B 5-10克；C 10-15克；D 15-20克
103,选择,张志礼在治疗皮肤病时使用的蒺藜，通常与以下哪组药物配伍以达到祛风除湿止痒的效果？A.苦参、白鲜皮；B.当归、首乌藤；C.何首乌、兔丝子；D.浮萍、防风。
104,选择,赵炳南在治疗疮疡时，生地的常用剂量是多少？A. 10~15克；B. 30克以下；C. 30克以上；D. 根据病症不同不定。
105,选择,荆芥在皮肤科中的使用，以下哪个描述不准确？A.可去皮里膜外之风；B.治疗急性荨麻疹；C.治疗疥疮；D.直接治疗脂溢性脱发
106,选择,张志礼使用乌梢蛇治疗的风痒癣疥，其一般用量是多少？A. 5 ~ 12克；B. 10 ~ 20克；C. 15 ~ 30克；D. 20 ~ 30克
107,选择,以下哪个药物不是朱仁康治疗风瘾疹时自拟方的组成部分？A当尾；B赤芍；C麻黄；D红花
108,选择,赵炳南名医擅长的疾病中包括以下哪一项？A痒疹；B癣症；C慢性湿疹；D皮肤淀粉样变
109,选择,使用癣症熏药卷治疗痒疹等疾病时，每日建议的熏蒸次数是多少？A1次；B2次；C3次；D根据患者情况自定
110,选择,以下哪位名医没有直接与泛发性神经性皮炎的治疗相关联？A.朱仁康；B.赵炳南；C.张志礼；D.陈勇
111,选择,哪种疾病与赵炳南名医有经验方的普连软膏和清凉膏均无治疗关系？A.单纯疤疹；B.风湿疹；C.牛皮癣红皮症；D.感冒
112,选择,以下哪个方剂不是用于治疗湿疹急性期发作的？A龙芩除湿方加减；B消风清热饮；C苦参汤；D四物汤
113,选择,当归四逆汤加减是由哪位名医提出的经验方？A.赵炳南；B.张志礼；C.庄国康；D.王文春
114,选择,下列哪种方剂的组成中不包含生白术？A清脾除湿饮；B健脾除湿汤加减；C秦艽丸加减；D人参养荣丸加减
115,选择,普连软膏的主要组成成分不包括以下哪一项？A黄柏；B黄荃；C当归；D大黄
116,选择,以下哪位名医提出了使用百部散治疗阴虱的经验方？A李博鉴；B张仲景；C华佗；D扁鹊；
117,选择,龙芩除湿方加减的主要组成成分不包括以下哪项？A龙胆草；B黄芩；C茯苓；D大黄
118,选择,拔膏棍可以治疗的疾病不包括以下哪项？A顽癣；B蛇串疮；C手足蚓；D心脏病
119,选择,回阳熏药的主要治法是什么？A回阳生肌；B益气养血；C清热解毒；D活血化瘀
120,选择,以下哪种方剂不是由陈彤云提出用于治疗湿疮的？A养血润肤饮加减；B清热除湿汤加减；C除湿止痒汤加减；D以上都是。
121,选择,结节性痒疹的治疗中，以下哪项不是拔膏棍方剂的组成部分？A煅龙骨；B煅牡蛎；C丹参；D白鲜皮
122,选择,皮肤枯燥皲裂常用的治疗方法是什么？A紫草软膏；B消风清热饮；C蜂蜡；D丹参
123,选择,生发酊的经验方是由哪位名医提出的？A. 张作舟；B. 魏跃钢；C. 孟丽；D. 无法确定
124,选择,赵炳南名医的经验方拔膏棍主要用于治疗哪种类型的皮肤疾患？A.肥厚性角化性；B.过敏性；C.感染性；D.色素性
125,选择,加减除湿胃苓汤还可以治疗以下哪种疾病？A神经性皮炎；B带状疱疹；C银屑病；D以上都可以
126,选择,以下哪种疾病不是凉血五花汤治疗的疾病？A. 风癣；B. 皮损；C. 玫瑰糠疹；D. 糖尿病
127,选择,限局性硬皮病的临床表现不包括以下哪项？A皮肤发硬；B皮肤瘙痒；C皮肤红肿；D皮肤疼痛
128,选择,以下哪种疾病不是薰药剂治疗的疾病？A癣症；B蛇皮症；C顽湿疹；D感冒
129,选择,乌蛇搜风汤的主治证候是什么？A风热之邪内郁日久；B未经发泄；C风热感冒；D脾胃虚弱
130,选择,赵炳南名医擅长的疾病是哪种？A内痔脱出嵌顿；B外痔；C肛裂；D直肠癌
131,选择,凉血五花汤治疗的皮肤病主要分布在身体的哪个部位？A上半身；B全身；C下半身；D没有特定部位
132,选择,在中医皮肤科中，赵炳南名医治疗红斑狼疮时，下列哪一项不是四藤方的组成部分？A.天仙藤；B.鸡血藤；C.首乌藤；D.黄连
133,选择,凉血五根汤的主要组成不包括以下哪项？A白茅根；B瓜蒌根；C茜草根；D人参
134,选择,朱仁康名医提出的治疗风瘙痒的经验方是什么？A. 三石水；B. 消风清热饮；C. 凉血清热汤；D. 祛风止痒散
135,选择,针对神经性皮炎的治疗，以下哪位名医擅长使用苦参？A.庄国康；B.赵炳南；C.朱仁康；D.张作舟
136,选择,以下哪种疾病不是凉血五花汤治疗的疾病？A.面部激素依赖性皮炎；B.血风疮；C.风癣；D.糖尿病
137,选择,以下哪种疾病不是拔膏棍的主治疾病？A寻常疣；B瘫痕疙瘩；C漫性湿疹；D高血压；
138,选择,赵炳南名医有关联的疾病流注，其经验方抑阴散的主要成分不包括以下哪一项？A草乌；B南星；C狼毒；D金银花;
139,选择,赵炳南名医擅长的疾病中，哪一种可以用加减除湿胃苓汤进行治疗？A亚急性或慢性湿疹；B湿疡；C白庀；D湿盛型缠腰火丹
140,选择,朱仁康名医擅长的疾病是什么？A各种肿毒；B荨麻疹；C湿疹；D牛皮癣
141,选择,赵炳南名医治疗鼠疮时，除了回阳熏药外，还可能使用以下哪种方剂？A消风清热饮；B人参芦；C白蔹；D以上皆非
142,选择,加减除湿胃苓汤主要用于治疗哪些疾病？A带状疱疹；B慢性及亚急性湿疹；C皮肤瘙痒症；D全部以上
143,选择,赵炳南治疗的银屑病的方剂是什么？A凉血五根汤；B凉血活血汤；C消风清热饮；D以上都不是
144,选择,在使用百部散治疗阴虱时，以下哪个步骤是不正确的？A加水1500ml煎至1200ml；B先熏后洗阴部至肛周；C每次使用约20分钟；D使用后无需敷于阴部和肛周；
145,选择,药毒的气阴两虚证治疗方剂是什么？A清营汤；B增液汤合益胃汤；C皮炎汤；D以上均不是
146,选择,朱仁康名医与下列哪一项经验方有关？A除湿胃苓汤；B薰药剂；C苍术；D以上都与朱仁康无关
147,选择,以下哪位名医擅长治疗寻常疣？A.赵炳南；B.庄国康；C.许铣；D.以上都对
148,选择,朱仁康认为逍遥散加减方重在什么？A.疏肝解郁；B.滋阴养血；C.清热解毒；D.健脾益气
149,选择,赵炳南名医擅长的疾病中，下列哪一项不是凉血五根汤治疗的疾病？A血风疮；B瓜藤缠；C皮损；D感冒。
150,选择,赵炳南名医擅长治疗的疾病中，哪一种可以使用普连软膏进行治疗？A火燎疮；B急性亚急性湿疹；C牛皮癣红皮症；D单纯疤疹
151,选择,黑布药膏主要被用于治疗哪些疾病？A.乳头状皮炎；B.荨麻疹；C.背痈；D.以上皆是
152,选择,湿疹糊剂主要用于治疗哪种疾病？A亚急性湿疹；B急性湿疹；C皮炎等；D慢性湿疹
153,选择,凉血五花汤可以治疗的疾病不包括以下哪一项？A.盘状红斑狼疮初期；B.玫瑰糠疹；C.脂溢性皮炎；D.疱疹
154,选择,下列哪个方剂用于治疗结节性痒疹等？A. 乌蛇搜风汤；B. 消风清热饮；C. 麻黄桂枝汤；D. 四物汤。
155,选择,湿敷方主要治疗的疾病是什么？A. 慢性皮肤病；B. 急性皮肤疾患有渗出者；C. 内科疾病；D. 外科疾病
156,选择,毛囊炎初起时，赵炳南名医擅长的治疗方法是？A.破瘀软坚；B.清热解毒；C.养阴润燥；D.温阳散寒
157,选择,紫草茸油主要用于治疗哪种疾病？A下肢红斑结节类疾患；B皮肤紫红斑块；C两者都可以治疗；D以上均不正确
158,选择,养血熄风汤主要用于治疗哪种疾病？A.慢性荨麻疹；B.风瘙痒；C.皮肤瘙痒症；D.泛发性神经性皮炎。
159,选择,王萍名医擅长治疗的疾病是什么？A.慢性荨麻疹；B.过敏性鼻炎；C.易感体质；D.风寒感冒
160,选择,天疱疮的哪种治法不包含在赵炳南的经验方中？A清脾利湿$清热解毒；B利水消肿$健脾除湿法；C活血解毒$通络除湿法；D补益气血$温经散寒
161,选择,赵炳南治疗结节性红斑及一切红斑类皮肤病的初期，可能会使用以下哪种方剂？A凉血五根汤；B凉血五花汤；C消风清热饮；D以上均不是
162,选择,秦艽丸方的组成中不包括下列哪一项？A秦艽；B苦参；C大黄；D当归。
163,选择,以下哪位名医擅长治疗固定性药疹？A朱仁康；B赵炳南；C张志礼；D以上均不擅长
164,选择,赵炳南名医擅长的疾病赤白游风，多皮饮主要治疗的疾病是什么？A慢性以皮疹为主的荨麻疹；B慢性湿疹；C血管性水肿；D皮肤瘙痒症
165,选择,黑布药膏的主要用途是什么？A.治疗荨麻疹；B.治疗瘢痕疙瘩；C.治疗背痈；D.治疗肉龟
166,选择,以下哪位名医不是面部激素依赖性皮炎的擅长治疗者？A.赵炳南；B.朱仁康；C.张仲景；D.李时珍
167,选择,下列哪种症状可以通过使用白鲜皮来治疗？A.风热湿疮；B.痒；C.发热；D.咳嗽
168,选择,以下哪种疾病可以用利湿清热方进行治疗？A带状疱疹；B汗疱症；C急性湿疹；D下肢丹毒。
169,选择,痒的症状可以通过哪种药物进行治疗？A.拘急痉挛；B.全蝎；C.消风清热饮；D.黄连
170,选择,药疹的气阴两虚证治疗方剂是什么？A清营汤；B增液汤合益胃汤；C八珍汤；D六味地黄丸
171,选择,以下哪种疾病不是苍术膏的适应症？A.汗管角化；B.毛囊角化；C.鱼鳞病；D.湿疹
172,选择,以下哪种症状可以通过使用荆芥进行治疗？A.过敏性紫癜；B.痒；C.感冒；D.失眠
173,选择,以下哪项是腋下$腹股沟等处间擦疹的常用治疗方法？A收湿散风拔干；B清热解毒；C滋阴降火；D温阳散寒;
174,选择,赵炳南治疗阳症窦道、瘘管、脓疡脓毒未净时，使用的经验方是？A. 甘乳药捻；B. 京红粉药捻；C. 消风清热饮；D. 凉血清热饮
175,选择,以下哪个方剂是由赵炳南提出的治疗带状疱疹的经验方？A.加减除湿胃苓汤；B.龙胆泻肝汤；C.除湿胃苓汤；D.自制黑色拔膏棍
176,选择,张志礼名医治疗皮肤瘙痒症状时，有特色用药的是哪种药材？A全蝎；B羌活；C桑叶；D浮萍
177,选择,急性渗出性皮肤病的治疗方法中，张作舟名医使用的经验方是什么？A.苦参煎剂；B.马齿苋煎剂；C.黄连煎剂；D.白鲜皮煎剂
178,选择,以下哪位名医擅长治疗紫癜风？A. 庄国康；B. 张作舟；C. 赵炳南；D. 朱仁康
179,选择,风瘙痒可以通过以下哪种方剂进行治疗？A. 三石水；B. 消风清热饮；C. 凉血清热汤；D. 祛风止痒散
180,选择,下列哪种症状不是麻黄治疗的症状？A.痒；B.痛；C.肿；D.热
181,选择,风热瘾疹在中医治疗中，以下哪种药物可用以治疗？A防风；B浮萍；C连翘；D黄连
182,选择,赵炳南名医治疗急性热病的证候类型是？A阳虚证；B阴虚证；C伤阴红舌证；D气虚证
183,选择,多形性红斑（血风疮）的中医治疗中，以下哪位名医擅长使用凉血五根汤？A赵炳南；B张志礼；C庄国康；D无相关名医
184,选择,利湿清热方的治法主要不包括以下哪一项？A利湿；B清热；Cxxx；D止痒；
185,选择,张作舟名医的经验方是什么？A解毒除湿油调剂；B消风清热饮；C四物汤；D八珍汤
186,选择,全虫方的证候不包括？A顽固性湿毒聚结；B风盛瘙痒诸症；C湿热蕴积；D以上均包括
187,选择,急性荨麻疹患者出现的痒症状，以下哪种药物可以用来治疗？A荆芥；B防风；C麻黄；D甘草
188,选择,下列哪种疾病不是黑布药膏治疗的？A痈；B肉龟；C锯痕症；D背痈
189,选择,下列哪个选项不是回阳熏药治疗的疾病？A久不收口之阴疮寒症；B鼠疮；C穿踝瘘；D踝关节结核的西医病名
190,选择,以下哪种疾病可以用赵炳南的经验方抑阴散进行治疗？A.荨麻疹；B.阴疽；C.丹毒；D.湿疹
191,选择,针对神经性皮炎的治法，以下哪项不正确？A.重镇活血；B.除湿祛风；C.杀虫止痒；D.疏肝理气
192,选择,下列哪种方剂不是朱仁康名医用于治疗荨麻疹的经验方？A.消风清热饮；B.疏风清热饮；C.多皮饮；D.乌蛇驱风汤。
193,选择,在中医皮肤科中，哪位名医使用麻黄治疗皮肤不仁？A. 张志礼；B. 李时珍；C. 华佗；D. 孙思邈
