ID	名医	研究名称	研究类型	方名	疾病	研究方案	资料来源	摘要					
15	赵炳南、张志礼	寻常型银屑病患者中药凉血活血汤治疗前后外周血VEGF含量的测定	随机对照试验	凉血活血汤	银屑病	"经验方剂凉血活血汤组成是生槐花、紫草根、赤芍、白茅根、生地、丹参、鸡血藤。为了进一步探讨中药凉血活血汤治疗血热型银屑病与血管新生的相关性, 我们应用ELISA方法对45 例寻常型银屑病患者( 中医辨证分型: 血热型) 口服中药凉血活血汤治疗前后血清中VEGF 水平进行了检测。"	"金力.寻常型银屑病患者中药凉血活血汤治疗前后外周血VEGF含量的测定[A].中华医学会.中华医学会第十二次全国皮肤性病学术会议论文集[C].中华医学会:,2006:1."	"中药凉血活血汤是我国己故中医皮外科专家赵炳南和张志礼教授治疗血热型银屑病的经验方剂, 经40余年临床验证, 疗效好, 安全可靠。经验方剂凉血活血汤组成是生槐花、紫草根、赤芍、白茅根、生地、丹参、鸡血藤。为了进一步探讨中药凉血活血汤治疗血热型银屑病与血管新生的相关性, 我们应用ELISA方法对45 例寻常型银屑病患者( 中医辨证分型: 血热型) 口服中药凉血活血汤治疗前后血清中VEGF 水平进行了检测。ELISA 方法检测的结果显示中药治疗前银屑病患者血清中VEGF 的含量明显高于正常对照组(P < 0.01 ) , 中药治疗2 周后银屑病患者血清中VE GF 的含量明显降低, 与中药治疗前血清中VEGF 的含量相比较有显著性差异( P<0.01), 中药治疗4 周后银屑病患者血清中VGE F的含量进一步降低至( 与正常对照组相比较无显著性差异(P>0.05 )。结论中药凉血活血汤能够降低寻常型银屑病患者血清中件GF 含量, 本研究提示抑制血管新生可能是中药凉血活血汤治疗血热型银屑病的机制之一。"					
16	张志礼	32例慢性荨麻疹中医辨证论治	临床观察		慢性荨麻疹	"1.阴血不足,血虚风燥型,予滋阴养血,润燥祛风止痒。方药: 生熟地各15g ,麦冬10g,当归10g , 首乌10g , 刺蒺藜10g, 浮萍10g, 防风10g ,黄芪10g。2.脾肺两虚,风寒束表型,予健脾益肺, 祛风散寒止痒。方药: 白术10g ,茯苓10g ,沙参15g ,黄芪15g ,桑皮10g ,地骨皮10g ,干姜皮10g ,桂枝10g,防风10g。"	韩冰，王萍.32例慢性荨麻疹中医辨证论治[J].北京中医，1998（3）：20-21	我们根据中医理论，在张志礼教授指导下，采用中医辨证论治，治疗３２例慢性荨麻疹取得了较好的疗效，并对９６例就诊患者结合现代医学进行了变态反应原的测定，现将结果报道于后，供同道们参考。临床资料资料来源于北京中医医院皮科门诊１９９５年至１９９６年就诊患者。					
17	赵炳南	白疕汤加减治疗银屑病肝功能异常	观察研究	白疕汤加减	银屑病	"生槐花12 g , 生地黄20 g , 丹参12 g , 连翘12g , 丹皮12 g , 当归10 g , 赤芍12 g , 白芍12 g, 黄芩12 g , 王不留行12 g , 甘草4 g , 每日1剂, 水煎分2次服, 15天为1个疗程。"	"吴允聪,郭倩君. 白疕汤加减治疗银屑病肝功能异常[J]. 山东中医杂志,1998,02:17."	银屑病为常见皮肤病，但银屑病引起肝功能异常者临床不多见。笔者在肝炎病患者中，发现２４例系因银屑病引起的长期肝功能异常，用白汤加减治疗，使肝功能在短期内恢复正常。					
18	朱仁康	“克银方”治疗银屑病的扫描电镜观察	对照研究	克银方	银屑病	"应用扫描电子显微镜对“克银方”治疗前后患者表皮角质细胞表面超微结构变化的初步观察结果,并对一些结构成分即微绒毛和洞的定量和半定量结果作一分析"	"庄国康,赵威甫,许铣,李香.“克银方”治疗银屑病的扫描电镜观察[J].中医杂志,1983,01:45-47+81."	"“克银方”是朱仁康老中医治疗银屑病的经验方,有关其临床治疗研究以及应用透射电镜对患者治疗前后表皮棘细胞核变化的研究已有报道。本文报告应用扫描电子显微镜对“克银方”治疗前后患者表皮角质细胞表面超微结构变化的初步观察结果,并对一些结构成分即微绒毛和洞的定量和半定量结果作一分析。 "					
19	赵炳南	黑色拔膏棍治疗增生性皮肤病的临床观察	观察研究	黑色拔膏棍	神经性皮炎$慢性湿疹$寻常疣$趾疣	"将黑色拔膏棍外用于皮损处, 胶布固定, 每3 天换药1 次, 疗程共4 周,每周复诊l 次, 记录观察指标, 疗程结束后分别统计疗效。"	"徐佳,周冬梅,张广中,蓝海冰,杨岚,张苍,孙丽蕴,陶洋,姜春燕,姜希,陈维文,王萍.黑色拔膏棍治疗增生性皮肤病的临床观察[A].中华中医药学会.中华中医药学会学术会议、国家中医药管理局继续教育项目——银屑病中医药防治交流会暨赵炳南学术思想高级研修班论文集[C].中华中医药学会:,2011:5."	"正黑色拔膏棍是赵炳南老先生在1958年吸取了前人的经验,不断摸索、改进而成。拔膏疗法也是赵老特色疗法中的一种,临床中用于治疗皮肤增生性疾病、带状疱疹后遗神经痛、多发性毛囊炎、结节性痒疹等多种疾患,常可取得良好疗效。为了进一步研究黑色拔膏棍的药理作用,我们选取了既往治疗疗效肯定的局限性神经性皮炎、慢性局限性湿疹、寻常疣、跖疣对黑色拔膏棍进行规范化、开放性临床研究,报告如下。"					
20	赵炳南	黑布膏治疗瘢痕的临床疗效观察	临床疗效观察	黑布膏	瘢痕	"临床应用;选择50例瘢痕疙瘩患者其中男性29例, 女性25例, 年龄最大50岁, 最小2岁平均年龄22岁结果显示显效20例, 有效的6例, 无效的4例, 总有效率92.0%。"	"王磊.黑布膏治疗瘢痕的临床疗效观察[J].黑龙江医药,2010,04:626-627."	"黑布膏治疗瘢痕历史悠久, 是相对手术及其他治疗效果最好的中药外用制剂。但由于制作麻烦干燥换药次数多存放时间短而致临床使用受限, 笔者通过学习加味黑布膏,更全面的了解了黑布膏的药理, 在通过软膏制剂的学习更加体会到, 改用新的制剂工艺促进药物经皮吸收的重要性。"					
21	陈彤云	陈彤云治疗痤疮临床经验总结	观察研究	枇杷清肺饮加减$健脾除湿汤加减$内消瘰疬丸加减	痤疮	"肺胃热盛以枇杷清肺饮加减, 脾湿内蕴证以健脾除湿汤加减, 痰湿聚结证以内消瘰疬丸加减"	"刘清.陈彤云治疗痤疮临床经验总结[J].北京中医,2000，(6):5-6"	"　陈彤云教授多年来致力于痤疮的研究, 积累了丰富的临床经验。本人有幸跟随陈老学习, 现就其临床治疗100 例痤疮患者的经验整理介绍如下。"					
22	赵炳南	除湿止痒汤治疗湿疹脾虚证疗效观察	随机、单盲、对照临床研究	除湿止痒汤	湿疹	"治疗方法：外治：2 组患者均配合中药湿敷治疗，药物为清热消肿洗剂（首都医科大学附属北京中医医院制剂室制备，批号：20081107）。将药物稀释20 倍，用6层纱布浸泡于稀释好的药液中，拧到中等干，直接敷于观察部位，纱布干后再蘸水，拧后再湿敷，湿敷每日2 次，每次20 min。治疗组：在外治法的同时采用赵炳南经验方除湿止痒汤方加减。方药组成：白鲜皮30 g,地肤子15g,炒薏苡仁15 g,生地15 g,茯苓皮15 g,苦参9 g,白术15 g,陈皮9 g,焦槟榔9 g。水煎2 次，每次口服200mL，每日2 次。对照组：在外治法的同时采用开瑞坦氯雷他定片口服，10 mg/d。2 组均连续用药2 周，服药期间停服影响本病药物评价的其他药物。"	"徐景娜.除湿止痒汤治疗湿疹脾虚证疗效观察[J].北京中医药,2011,07:523-525."	"目的观察赵炳南老先生治疗湿疹经典方剂除湿止痒汤治疗湿疹脾虚证的临床疗效。方法采用随机、单盲、对照的研究方法,将120例患者随机分为治疗组和对照组各60例,治疗组采用口服除湿止痒汤,每日1剂,早晚分服;对照组采用口服西药氯雷他定片10 mg,每日1次;均治疗2周。结果 2组综合疗效比较,治疗组临床痊愈14例,显效8例,有效33例,无效4例,总有效率为37.29%。对照组痊愈5例,显效9例,有效31例,无效12例,总有效率为37.29%。两组比较有显著性差异(P<0.05)。"					
23	赵炳南	复方五参冲剂治疗急性热病伤阴红舌证的临床和实验研究——附600例分析	观察研究	复方五参冲剂	急性感染性热病	"给药l 组: 复方五参冲剂, 停用抗生素和钾制剂。( 2 ) 给药2 组: 复方五参冲剂十西医治疗。( 3 ) 对照组: 西医治疗, 继续或更改抗生素, 补钾。"	"马必生,李乃民,王光瑞,李建荣,张万学,吕瑞绵,何喜梅,林小冬,仲玉山,卢长顺,王淑英,姜菊英,田素礼,杨显鳌,孟昭亨,陈婉珠,张丰永,易秉斧,贺桂兰,王为财,冯振声,宋洁,冯培勤,赵振忠,张洪海,梁维强,赵明堂.复方五参冲剂治疗急性热病伤阴红舌证的临床和实验研究——附600例分析[J].中西医结合杂志,1989,10:583-586+579."	"急性感染性热病中晚期,经常合并存在中毒、政血症,水、电解质紊乱和抗生素源性二重感染等。临床表现以高热、神怠,脱水、低钾,舌质红绛无苔等一系列的气阴两伤证候。通过600例临床分析与实验室研究,研制成功动物红光舌模型。首次提出以红光舌作为气阴两伤证的主要诊断依据,证实了该证型和低钾、水电解质紊乱有关;检测口腔 pH 值、淀粉酶、血液循环、舌面菌群和病理学,出现一系列的功能、形态上的病理生理障碍。应用复方五参冲剂对该证型的前瞻性临床疗效观察.证实了该方药具有良好的退热、提升血钾、改善临床症状和加速实验室病理指标好转的疗效。 "					
24	赵炳南	黑布药膏对兔耳增生性瘢痕的作用机制研究	实验研究	黑布药膏	增生性瘢痕	"材料与方法:成年大耳白兔24只,随机分成3组,即正常对照组、瘢痕模型组和黑布药膏治疗组。正常对照组不施加任何处理因素,瘢痕模型组和黑布药膏治疗组进行增生性瘢痕造模,建立兔耳增生性瘢痕动物模型,21d后,造模成功,在黑布药膏治疗组瘢痕局部涂抹黑布药膏,每3d 1次,连续用药56d。在用药第2,4,6,8周分别切取两组瘢痕组织,进行指标检测。肉眼观察,在瘢痕形成和治疗过程中皮肤及瘢痕变化情况;HE染色,光镜下观察增生性瘢痕组织病理形态学改变,计算瘢痕增生指数和成纤维细胞密度;VG染色,光镜下观察增生性瘢痕组织胶原的变化,计算胶原面密度;采用免疫组化方法进行PCNA的检测,光镜下观察成纤维细胞的增殖情况,并计算PCNA阳性表达率;采用TUNNEL法进行细胞凋亡的原位检测,光镜下观察成纤维细胞的凋亡情况,并计算凋亡率;实时定量PCR(RT-PCR)法检测Bax、Bcl-2 mRNA的表达;RT-PCR法检测I、Ⅲ型胶原和基质金属蛋白酶-1 mRNA的表达;蛋白免疫印迹法(Western-blot)法检测转化生长因子-β1蛋白的表达。结果:1.肉眼观察,在兔耳腹侧面形成创面后,在造模后12～14d时,伤口基本愈合,并能触到硬结,造模后20～22d时,硬结更加明显,高于皮面,呈淡红色,增生范围不超过原创沿,厚度约为兔耳腹面皮肤厚度的2倍。模型组在上皮化后第六周瘢痕增生达到最高峰,厚度约为兔耳腹面皮肤厚度的3倍。黑布药膏治疗组随着给药时间的延长,瘢痕逐渐软化,体积逐渐缩小,趋于平复,色变淡。2.光镜下观察,模型组可见真皮组织明显增生、变厚,由大量成纤维细胞、胶原组织及血管组成,胶原排列不整齐,呈结节或旋涡状分布,随时间推移,无明显变化。黑布药膏治疗组随时间推移瘢痕组织内血管、成纤维细胞逐渐减少,胶原纤维逐渐减少,呈淡红色,稀疏,排列较整齐。3.黑布药膏对兔耳增生性瘢痕瘢痕增生指数的影响黑布药膏治疗组较模型组瘢痕增生指数降低,从上皮化第4周开始,治疗组与模型组有显著性差异(P<0.01),并随着时间推移,瘢痕增生指数降低愈加明显。4.黑布药膏对兔耳增生性瘢痕成纤维细胞密度的影响模型组成纤维细胞密度明显高于正常组,与正常组比较有显著性差异(P<0.01),在上皮化后4周达到最高值,之后逐渐降低。黑布药膏可降低成纤维细胞密度,与模型组比较有显著性差异(P<0.05)。5.黑布药膏对兔耳增生性瘢痕胶原面密度的影响模型组胶原纤维的面密度明显高于正常组,与正常组比较有显著性差异(P<0.01),在上皮化后6周达到最高值,之后逐渐降低。黑布药膏可降低胶原纤维的面密度,从上皮化后第四周开始与模型组比较有显著性差异(P<0.01)。6.黑布药膏对兔耳增生性瘢痕PCNA的影响免疫组化法进行PCNA检测显示:正常皮肤表皮基底细胞层PCNA阳性表达,真皮层阳性表达较少。模型组除基底细胞PCNA阳性表达及部分棘细胞层和颗粒细胞层呈阳性表达外,真皮层见大量PCNA阳性表达细胞,与正常皮肤相比差异有显著性(P<0.01),治疗组PCNA阳性细胞较模型组明显减少,相比有显著性差异(P<0.05)。7.黑布药膏对兔耳增生性瘢痕细胞凋亡的影响TUNNEL法进行细胞凋亡原位检测,结果显示:在成纤维细胞和血管内皮中可见凋亡小体,即凋亡细胞。正常组皮肤中只有少量阳性细胞,瘢痕模型组上皮化2周到4周,凋亡率与正常皮肤相比无明显差异,上皮化后6周开始凋亡率降低,随时间推移凋亡率降低愈加明显,但和正常组相比没有统计学意义(P>0.05)。黑布药膏治疗组凋亡细胞较前模型组增多,真皮中见较多凋亡的成纤维细胞,而到了上皮化6周时达到凋亡高峰,至上皮化8周时凋亡率仍然持续很高。黑布药膏治疗组与模型组瘢痕凋亡率有显著性差异(P <0.01)。8.黑布药膏对兔耳增生性瘢痕Bax mRNA表达的影响实时定量PCR法检测Bax mRNA的表达,结果显示:与正常组比较,模型组Bax mRNA表达降低(P<0.05),并且随着上皮化时间越长,降低愈明显,从上皮化第六周开始,与正常组相比差异更加显著(P<0.01)。治疗组BaxmRNA表达较模型组明显增加,相比有显著性差异(P<0.01),并且随着上皮化时间越长,增加愈明显。9.黑布药膏对兔耳增生性瘢痕Bcl-2mRNA表达的影响实时定量PCR法检测Bcl-2mRNA的表达,结果显示:与正常组比较,模型组Bcl-2 mRNA表达增加(P<0.01),并且随着上皮化时间越长,增加愈明显。治疗组Bcl-2mRNA表达较模型组明显降低,从上皮化后4周开始相比有显著性差异(P<0.01),并且随着上皮化时间越长,降低愈明显。10.黑布药膏对兔耳增生性瘢痕I型胶原mRNA表达的影响实时定量PCR法检测I型胶原mRNA表达,结果显示:与正常组比较,模型组I型胶原mRNA表达显著升高(P<0.01),并且随着上皮化时间越长,升高愈明显。治疗组I型胶原表达较模型组降低,从上皮化后4周开始有显著性差异(P<0.01),并且随着上皮化时间越长,降低愈明显。11.黑布药膏对兔耳增生性瘢痕Ⅲ型胶原mRAN表达的影响实时定量PCR法检测Ⅲ型胶原mRAN表达,结果显示:模型组Ⅲ型胶原mRNA表达较正常组降低,并且随着上皮化时间越长,降低愈明显,从上皮化后6周开始,与正常组比较有显著性差异(P<0.01)。黑布药膏治疗组Ⅲ型胶原mRNA表达较模型组升高,并有显著性差异(P<0.01),并且随着上皮化时间越长,升高愈明显。12.黑布药膏对兔耳增生性瘢痕基质金属蛋白酶-1mRNA表达的影响实时定量PCR法检测基质金属蛋白酶-1mRNA的表达,结果显示:模型组MMP-1 mRNA表达较正常组降低,两组比较有显著性差异(P<0.01),并且随着上皮化时间越长,降低愈明显。治疗组基质金属蛋白酶-1mRNA表达较模型组明显增加,相比有显著性差异(P<0.01),并且随着上皮化时间越长,增加愈明显。13.黑布药膏对兔耳增生性瘢痕转化生长因子-β1蛋白表达的影响Western-blot法检测转化生长因子-β1mRNA的表达,结果显示:与正常组比较,模型组转化生长因子-β1表达显著升高(P<0.01),并且随着上皮化时间越长,升高愈明显。治疗组转化生长因子-β1表达较模型组降低,从上皮化后4周开始有显著性差异(P<0.05),从上皮化后6周开始,差异更加显著(P<0.01),并且随着上皮化时间越长,降低愈明显。结论:1.黑布药膏能够明显抑制成纤维细胞增殖及降低胶原纤维的含量,显著降低增生性瘢痕瘢痕增生指数、成纤维细胞密度及胶原面密度,从而抑制增生性瘢痕组织增生。2.黑布药膏能够显著降低兔耳增生性瘢痕PCNA阳性表达率,增加细胞凋亡率,降低Bax mRNA表达,增加Bcl-2 mRNA表达,抑制增生性瘢痕成纤维细胞增殖,诱导细胞凋亡。3.黑布药膏能够显著降低兔耳增生性瘢痕Ⅰ型胶原蛋白mRNA的表达,显著增加Ⅲ型胶原蛋白和基质金属蛋白酶-1mRNA的表达,降低转化生长因子-β1蛋白的表达,从而降低瘢痕组织胶原含量,增加胶原酶含量。"	"赵丽.黑布药膏对兔耳增生性瘢痕的作用机制研究[D].辽宁中医药大学,2011."	"目的:增生性瘢痕是病理性瘢痕的一种,是皮肤真皮损伤愈合后瘢痕部位持续增生的一种病理现象,表现为高出正常皮肤、发红、坚硬,有时伴有瘙痒、疼痛等不适症状,不仅影响容貌和功能,还会给患者造成心理负担,而增生性瘢痕的防治是现代医学的难题之一,因此,寻找治疗和预防瘢痕增生的有效药物具有重要的意义。本课题选用著名皮肤病学专家赵炳南的经验方——黑布药膏,采用破瘀软坚之法来治疗兔耳增生性瘢痕,研究黑布药膏对兔耳增生性瘢痕动物模型成纤维细胞组织形态学、细胞增殖与凋亡及胶原合成与降解等方面的影响,从细胞、分子水平探讨黑布药膏治疗和预防增生性瘢痕的机制,为黑布药膏外用治疗增生性瘢痕提供理论和实验依据。"					
25	赵炳南	黑布药膏治疗增生性瘢痕的临床观察	随机、对照临床研究	黑布药膏	增生性瘢痕	"研究方法:在2006年9月至2008年8月期间,辽宁中医药大学附属第一医院美容整形科分别应用黑布药膏(成分:老黑醋、五倍子、金头蜈蚣、蜂蜜、梅花冰片)和康瑞保凝胶治疗外伤愈合后10～30天,具有典型隆起的粉红色或紫红色瘢痕,高出体表、表面充血、质地偏硬、其边缘不突向正常皮肤,并伴有痒痛症状的增生性瘢痕患者72例(增生性瘢痕共计72处)。采用随机、对照平行设计将受试者随机分为2组:治疗组:采用黑布药膏外敷治疗:对照组:外用康瑞保凝胶治疗。比较两组在治疗3个月后的临床疗效。结果:1.在治疗3个月后,黑布药膏组有效率为94.5%。2.在治疗3个月后,康瑞保凝胶组有效率为86.1%。3.在治疗3个月后,黑布药膏组与康瑞保凝胶组疗效比较P值＞0.05,无统计学上差异。结论:1.黑布药膏治疗外伤后增生性瘢痕临床疗效确切。2.黑布药膏副作用少。3.黑布药膏值得在临床上推广应用。 "	"王双勋.黑布药膏治疗增生性瘢痕的临床观察[D].辽宁中医药大学,2009."	"目的:增生性瘢痕是整形美容外科常见病,其影响患者容貌和生理功能。对该病的预防和治疗一直成为人们关注的课题。增生性瘢痕的治疗方法很多,但是疗效均不十分满意。本试验应用著名老中医赵炳南名方黑布药膏治疗增生性瘢痕,观察其治疗三个月后的临床效果并将其与康瑞保凝胶进行对比分析。研究方法:在2006年9月至2008年8月期间,辽宁中医药大学附属第一医院美容整形科分别应用黑布药膏(成分:老黑醋、五倍子、金头蜈蚣、蜂蜜、梅花冰片)和康瑞保凝胶治疗外伤愈合后10～30天,具有典型隆起的粉红色或紫红色瘢痕,高出体表、表面充血、质地偏硬、其边缘不突向正常皮肤,并伴有痒痛症状的增生性瘢痕患者72例(增生性瘢痕共计72处)。采用随机、对照平行设计将受试者随机分为2组:治疗组:采用黑布药膏外敷治疗:对照组:外用康瑞保凝胶治疗。比较两组在治疗3个月后的临床疗效。结果:1.在治疗3个月后,黑布药膏组有效率为94.5%。2.在治疗3个月后,康瑞保凝胶组有效率为86.1%。3.在治疗3个月后,黑布药膏组与康瑞保凝胶组疗效比较P值＞0.05,无统计学上差异。结论:1.黑布药膏治疗外伤后增生性瘢痕临床疗效确切。2.黑布药膏副作用少。3.黑布药膏值得在临床上推广应用。"					
26	赵炳南	黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察	对照研究	黑色拔膏棍	神经性皮炎$慢性肥厚性湿疹	"研究方法：采用前瞻性、自身疗前疗后对照的评价方法,客观评价黑色拔膏棍的疗效。研究结果：本项研究共入组局限性神经性皮炎及慢性肥厚性湿疹患者共31例、其中有1例因不良反应退出本项临床观察。采用秩和检验进行统计分析,三项单项症状比较,疗后较疗前具有显著性差异。结论：黑色拔膏棍能够显著改善局限性神经性皮炎及慢性肥厚性湿疹皮损的肥厚程度,缩小皮损面积以及缓解瘙痒的自觉症状,降低皮损局部改良PASI评分。"	"金奇英.黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察[D].北京中医药大学,2010."	"研究目的：局限性神经性皮炎及慢性肥厚性湿疹的皮损肥厚,病程长,不易治疗。北京中医医院已故名医赵炳南先生临床上应用黑色拔膏棍治疗局限性肥厚性皮损,疗效显著,但至今未做过系统的临床观察。本实验的目的在于观察黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效,并进一步观察黑色拔膏棍对皮损单项症状(严重程度、面积、自觉症状)的作用。研究方法：采用前瞻性、自身疗前疗后对照的评价方法,客观评价黑色拔膏棍的疗效。研究结果：本项研究共入组局限性神经性皮炎及慢性肥厚性湿疹患者共31例、其中有1例因不良反应退出本项临床观察。采用秩和检验进行统计分析,三项单项症状比较,疗后较疗前具有显著性差异。结论：黑色拔膏棍能够显著改善局限性神经性皮炎及慢性肥厚性湿疹皮损的肥厚程度,缩小皮损面积以及缓解瘙痒的自觉症状,降低皮损局部改良PASI评分。 "					
27	陈彤云	陈彤云老师治疗粉刺理法方药的研究	观察研究		粉刺	"所有使用的临床病例资料、处方均采集自2008年10月至2011年6月师承学习期间,跟师临诊抄方学习的门诊工作中。包括首都医科大学附属北京中医医院皮肤科门诊、北京饭店特诊部门诊、平心堂中医门诊部门诊。共收集72份记录较为完整的临床病例,其中男性32例,女性40例;平均年龄23.4岁。72份病例均是有3次(含3次)以上复诊记录的患者,且病历记录四诊信息、理法方药完整;处方的自然项目、药名、剂量记录清晰,共计244张处方。将符合条件的病例资料进行整理,按记录的症状、体征、舌脉等四诊信息,进行辨证分型;将同一证型的处方归类,分别统计出同一证型处方中具体药味的出现频次及比例,汇总三个不同辨证分型的处方药味的前10味。在172张复诊处方中,统计兼夹证及加减用药情况。此步骤不再界定辨证分型,仅将相同兼夹证的加减用药加以归类、整理。在药味统计方面利用MiorosoftExoel表格设计数据库,录入药味及比例等相关数据,进行分析。按处方中药味出现频次和比例,提炼出陈彤云老师治疗粉刺的基础方组成药味及兼夹证加减用药规律。经病历整理、按辨证分型归类、药味数据统计分析,得出基础方药味组成:茵陈、连翘、野菊花、丹参、黄柏、黄连、虎杖、百部。"	"刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."	"本研究旨在利用数据挖掘技术,整理、归纳、分析、总结陈彤云老师临证治疗粉刺一证理法方药的特点,提炼出其临证治疗的基础方剂及随证加减用药规律;并结合陈彤云老师学术思想,研究陈彤云老师在粉刺一病治疗中理、法、方、药方面理论思想的形成。将陈彤云老师在本病外用制剂方面的成果加以推广,并立项研究、开发其治疗粉刺的基础方剂,指导临床。
本文在系统总结陈彤云老师治疗粉刺临证经验的同时,亦发现了一些问题。如粉刺的中医辨证繁杂,没有统一的标准;疗效评定方面人为化的指标偏多,造成了疗效判定标准不统一,使研究结果缺乏说服力等问题。这些对于中医规范化管理不利,也会阻碍推广行之有效的治疗方案;又如外用药剂型改良的不力,这些都影响了中医科学化及走向世界的进程。
"					
28	朱仁康	凉血五花汤加味治疗玫瑰糠疹	观察研究	马齿苋合剂	眼带状孢疹	内服药，马齿苋60，大青叶30，蒲公英30，柴胡30，牛蒡子15，丝瓜络10，加减：肝胆火旺，皮损为红粟状者加龙胆草12，泽泻15，脾胃湿热，疱破流液者加黄连3，升麻6，眼结膜和角膜有病变者加木贼草12，谷精草15，虹膜睫状体炎加青葙子12，密蒙花12，疼痛明显者加元胡15.外用药，用消疹药糊（青黛粉20，雄黄粉15，芒硝粉10，以丝瓜藤汁调成糊状）外涂皮损处。	"兰茂璞,孙洪亭.加味马齿苋合剂治疗眼带状疱疹36例[J].甘肃中医,1992,03:18."						
29	赵炳南	健脾润肤汤联合甘草油治疗特应性皮炎	观察研究	健脾润肤汤	特应性皮炎	内服 健脾润肤汤口服（组成：党参 10 g，云苓 10 g，苍术 10 g，白术 10 g，当归 10 g，生地 10 g，丹参 10 g，鸡血藤 10g，赤芍10g，白芍 10 g，陈皮10 g）每日 1 剂，水煎服，分两次服。外用 甘草油（制法为将中药甘草浸入植物油中一昼夜，文火煎至焦枯，离火滤过，去渣备用），2次 /d。1.2.3 疗程 4 周。	"马一兵,孙丽蕴,王萍.健脾润肤汤联合甘草油治疗特应性皮炎36例临床分析[J].中国中西医结合皮肤性病学杂志,2009,05:310-311."						
30	朱仁康	克银方治疗寻常型银屑病	观察研究	克Ⅱ号方	银屑病	血热风燥型，证见皮损呈鲜红色，剥之易脱，剥后有点状出血点，不断有新疹出现，或感皮损炽热，或瘙痒较剧，心烦口渴，大便干结，脉弦滑，舌红苔黄，多见于银屑病进行期，治宜凉血，清热，解毒，用克Ⅱ号方（土茯苓30，北豆根10，白鲜皮30，草河车30，）热盛者加生地，赤芍，丹皮，生槐花，白茅根，生石膏，知母等。瘙痒明显者选加乌梢蛇，徐长卿，白蒺藜，苦参等，便秘者加沈军，纳差者加陈皮，冬麦芽等。服药10剂为一疗程，至总结时服满二疗程以上者均作为统计对象，服满三疗程无效者停药改用其他方法，有效病理服至皮损全部消退后再服一疗程作为巩固治疗，或好转后继续服药二疗程未有新进步者，亦停药结束后治疗。	"凌新民.克银方治疗寻常型银屑病72例疗效观察[J].光明中医,1994,01:25-27."						
31	朱仁康	克银方治疗寻常型银屑病	观察研究	克银Ⅳ号方	银屑病	血虚风燥型，证见病久不退，皮肤干燥，呈淡红色斑块，鳞屑层层，新的皮损出现不多，脉弦细，舌淡苔净，多见于银屑病静止期，治宜养血活血，滋阴润燥，用克银Ⅳ号方（生地30，玄参30，苦参10，丹参30，北豆根10，麻仁10）鳞屑层层而附着紧，色暗及有其他血瘀见证者，选用桃仁，红花，三棱，莪术，赤芍等，气虚者加黄芪，党参，白术等，痒甚者加乌梢蛇，白僵蚕，徐长卿等。服药11剂为一疗程，至总结时服满二疗程以上者均作为统计对象，服满三疗程无效者停药改用其他方法，有效病理服至皮损全部消退后再服一疗程作为巩固治疗，或好转后继续服药二疗程未有新进步者，亦停药结束后治疗。	"凌新民.克银方治疗寻常型银屑病72例疗效观察[J].光明中医,1994,01:25-28."						
