ID	名医	学术思想核心	学术思想内容	资料来源					
11	陈彤云	强调中医的整体观和辨证论治；重视脏腑辨证；重视养生保健	"重视人与自然、气候、环境、四时的协调统一关系;重视皮肤与脏腑、经络、气血的内在联系。认为皮肤病不仅仅是皮毛之疾,更是脏腑、气血的生理、病理在皮肤上的反应,即“有诸内必形诸外”。临证四诊合参,尤重舌诊。重视望闻问切四诊合参,但也善于抓住重点。在皮损表现、舌苔、脉象的综合辨证上出现不同时,陈彤云老师更加重视舌苔的表现。陈老常言:“舌为心之苗,又为脾之外侯,·苔是胃之气”,认为观舌可判断外邪之轻重、正邪之消长和病势的进退以及胃气的存复情况。这也是整体观的一个体现。注重补肾、顾护胃气。强调中焦为枢,重视胃气。脾胃为后天之本、气血生化之源。临证十分重视患者的年龄和体质,在应用清热苦寒药物的同时,注意使用培补脾土、健脾渗湿、燥湿利湿之品,以顾护中焦,扶正祛邪。   倡导中西医结合、辨证与辨病相结合。凭借自己掌握的传统中药制剂工艺、方法,依据现代医学对中药的药理学研究成果,大胆进行重要传统制剂的剂型改革、创新,研制出“祛斑霜”、“祛斑增白面膜”、“痤疮面膜”、“痤疮霜”等系列产品,使中药外用制剂既保持了中药特有的疗效,又克服了传统制剂粗糙、油污、色深、味重的缺点。   推崇“治未病”,赞同《内经》“不治已病治未病”的理论思想,并身体力行,保持平和心态、适当的运动、合理的饮食结构,以积极、乐观向上的精神状态,健康、快乐地生活。

"	"刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."					
12	李林	整体观念的运用及强调内治	李林更强调，在湿疹辨证过程中，也要有整体观，除了对皮损、瘙痒详细分辨外，不能忽略湿疹患者的其他全身症状和舌苔脉象，对诸多症状综合分析，辨证准确，论治就会效如桴鼓。	"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."					
13	李博鉴	阳痿从肝论治	"今人倡扬“阳痿从肝论治” 之说, 首推李博鉴。其在1980年曾撰文指出:“阳痿之人, 非皆因肾虚而成; 肝、胃有热, 亦可成阳痿, 为数不少, 每被忽视。肝主疏泄而喜条达, 若肝郁疏泄失职, 每多生热。肝郁一久, 其阳每多上亢, 肾水不足以涵木, 宗筋无阴以济, 而成阳痿… … 提示我们, 治疗阳痿之时, 不能止于温补。当以其气血和畅条达, 阴平阳秘为贵。"	"张树生.中医男科学考略[J].中国医药学报，1993,8（6）：18-20."					
14	孟丽	八纲定性，经络定位，把握核心病机，专病专方，内外合治，中西合参，移情易志，关注身心健康。		"李建伟，孟丽教授论治脱发学术思想[J].中医研究，2014,27（7）:45"					
15	王莒生	注重整体观念，注重内外同治	"王老师继承了中医皮肤科的学术特点,治疗皮肤病从整体出发,她认为:皮肤病虽发于外而多源于内。中医学理论体系的一大基本特点就是整体观念。它贯穿于中医生理、病理、诊法、辨证、治疗等整个理论体系之中。中医学把人体内在脏腑和体表各部组织、器官之间看成是一个有机的整体,同时认为四时气候、地域方宜、周围环境等因素对人体生理病理有不同程度的影响,既强调人体内部的统一性,又重视机体与外界环境的统一性。从天人合一的整体观念出发,强调研究医学,应上知天文,下知地理,中知人事,治病宜不失人情。有关中医皮肤科的古代文献及现代名老中医的学术观点,亦非常重视整体观念,但多强调皮肤病虽现于外,必发于内,主张内治外治相结合。王老师在这方面有所扩展。她认为皮肤病不能单独看作皮肤的局部问题,应当认为是整体的一部分。对于皮肤病患者从不仅着眼于皮肤局部,而需整体诊察,整体调理。她经常说:“我们不仅是看病,更要重视得病的人。”除治疗注重内治外,她还关注患者的各方面情况,她在诊疗过程中的整体观主要体现在下述方面:问诊时,涉及患者的饮食起居、情志、生活工作环境等多项内容,力求对病人的情况全面掌握,如要了解疾病的发病情况,包括病程,急性或慢性?是否反复发作?诱发或加重的原因是什么?与饮食、情志、季节、气候、居处环境有无关联等。患者的职业、平素的习性、家庭情况、有无特殊爱好、有无不良嗜好等也要问及。她常说:了解了患者这个人,就能从他的习性、职业、环境、精神状态等各方面判断其人的体质特征,发病诱因,从而为治疗方向提供依据。这是中医整体观念中人与自然统一、人与社会统一的体现。诊察症状体征时,除了解皮肤的自觉症状外,还要涉及其它伴随症状及体征,如食欲如何、有无口苦、是否口渴、二便情况、出汗情况、睡眠、月经等;有无发热、咳嗽、淋巴结是否肿大、关节爪甲有无疼痛变形等。王老师在诊察疾病时除力求全面了解外,亦有所侧重,她认为肺主皮毛,皮肤病与肺的关系密切,另外肝主疏泄,若肝郁气滞,可加重皮肤病,且不利于药物的疏布吸收,故而对肺经、肝经症状更加注重。脾胃为后天之本,气血生化之源,脾胃虚弱;气血生化无源,肌肤失养,导致皮肤病的产生,运化不利,水湿停聚,亦可导致皮肤病,另外,皮肤病多为慢性疾病,需长期服药,老师非常注重脾胃的调养,因若胃气衰败,再好的药物也不能发挥作用。肾为先天之本,很多皮肤病与先天察赋有关,加之肝肾同源,皮肤病与气血的充沛与否关系密切,故老师亦很重视滋补肝肾。心主神明,主血脉,许多皮肤病与精神因素相关,皮肤病多引发气血失和,经络不通,故心与皮肤病的关系亦较为密切。体现了人体本身是一个整体,五脏六腑四肢百骸均有关联。在处方用药时,从整体调理出发,兼顾患者的方方面面,不局限于减轻皮肤症状。除皮肤科常用的清热除湿、疏风止痒等方法外,还注重调节脏腑功能,常用疏肝解郁、宣发肺气、健脾益气、调和冲任、滋补肝肾、养心安神等方法。很多患者在服药后感觉身心舒畅,许多困扰自己日久的其他症状也得到了缓解。除用药物治疗外,耐心指导患者注意日常的调护,注意皮肤的护理,还包括饮食起居适应四时之气,适应自身体质;老师经常指导患者,饮食应注意多样性及搭配,如植物性食物要注意根、茎、叶、花、果的搭配,动物性食物注意水陆空的搭配,此外还有食物颜色的搭配等等。要注意调畅情志,避免紧张、抑郁、过分追求难以达到的高度等。经过整体的调理,患者的病情得到缓解,机体的状况得以改善,身心愉悦,达到治疗得病的“人”的目的。"	"周冬梅.王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究[D].北京中医药大学,2011."					
16	王莒生	从肝论治皮肤病	"从肝论治是王老师诊治皮肤病的突出特点。她非常重视肝气的条达与否。她认为肝气不舒是导致气血失和、肌肤失养的重要原因。这是由肝的生理功能决定的。其一:肝主疏泄。是指肝具有维持全身气机疏通畅达,通而不滞,散而不郁的作用。人体的脏腑经络、形体官窍、气血津液、营卫阴阳无不依赖于气的升降出入来维持其正常的生理功能并相互之间密切联系。因此,肝的疏泄功能正常,则气机调畅,经脉通利,气血和调,脏腑组织活动正常。其二:肝主藏血。肝的生理功能特点决定了肝与气血的关系密切。肝的功能失调,会导致气血失和,皮肤失荣,出现色素异常、皮肤增厚、痉痒等各种问题。很多皮肤病与肝的关系密切,如黄褐斑墓本病机为肝气郁滞或肝肾不足,治疗当以疏肝理气或滋补肝肾为主;再如很多免疫性疾病、慢性皮肤病的后期,均与肝肾不足、气血亏虚有关,治疗亦以滋辛{、肝肾,调和气血为主;还有些皮肤病与情致因素相关,如银屑病、湿疹、白癜风、神经性皮炎等,治疗需注意疏肝解郁;还有很多疹痒性皮肤病,亦与肝气郁滞、肝火旺盛有关,亦要配合疏肝、清肝的治疗。故此,从肝论治应从几个方面,根据患者的具体情况采用清肝、疏肝、补肝的不同方法。在从肝论治的同时,还要兼顾其它兼证,如肝肾同源,补肝的同时往往需补肾;肝主藏血,肝肾不足,往往伴有血虚,故还应注意养血;肝气郁滞常导致木郁克土,在疏肝同时,注意健脾和胃;情致不畅,可导致肝气郁滞或肝火旺盛,亦可致心火妄动,故清肝疏肝同时,还需清心安神;肝气郁滞还会导致气滞血疲,疏肝理气同时还应兼顾活王营生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床试验研究血通络;肝主风,肝火旺盛或肝血不足可致肝风内动,故治肝往往与治风相携。例如王老师治疗白疲风,即从肝论治,首要疏肝解郁。再根据患者不同情况,给予健脾益气、疏风、活血、滋补肝肾等治疗。以达到调和气血目的。老师疏肝理气常用柴胡、郁金、香附等;配合活血药物,常用丹参,而不用三棱、获术、乳香、没药等,老师认为,白驳风患者血癖往往是由于气滞、气不行血而致,而无症痕痞块等有形之滞,故不用活血破疲之剂。老师除用药物疏肝理气之外,还非常重视心理的疏导。老师常说,医生的语言是有力的治疗武器。遇到情志不畅的患者,王老师总要用大块时间进行心理辅导。老师社会阅历丰富,洞察能力超强,能很快洞悉患者心理,进行有针对性的疏导,对于郁闷、消极的患者,鼓励他放下包袱,积极面对,树立信心;对焦虑、偏执的患者,则开导他避免对名利的过分追逐,放松对自己的要求;对于过度焦虑的患儿家长,指导他正确认识疾病,坦然面对,科学调护。老师语言风趣,态度和蔼,语重心长的话语直入患者心扉,听完老师一番话,患者往往有豁然开朗之感,许多患者说:找王大夫看病,心里特别舒服、愉快。老师称这种方法为“话疗”,是临床极其有效的治疗手段"	"周冬梅.王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究[D].北京中医药大学,2011."					
17	王莒生	从肺论治皮肤病	"从肺论治是王老师治疗皮肤病的另一特点。肺主皮毛,皮肤病与肺密切相关。导致皮肤病的最常见的外邪为风和湿。风邪上受,首先犯肺。肺主宣发、肃降、通调水道。水湿的运化除与脾相关,与肺关系亦甚密切。赵老常说“湿在上者宜发散之”。由此可见,肺与皮肤病的关系之密切。王老师非常重视肺气的宣畅与否。许多皮肤病表现出肺经的症状,如尊麻疹可出现咳嗽、喘,感染性发疹性皮肤病往往有前驱症状,表现为发热、流涕、咳嗽等,此时自当从肺论治。常用苏叶、黄答、桑叶、杏仁等疏风宣肺。另有些皮肤病没有明显的肺经症状,但皮损分布以头面、上部为主时,老师也从肺论治。如痊疮、脂溢性脱发、头面部的白疲风等,老师认为这类疾病为肺经有热所致,经常使用银花、连翘、公英、黄琴等药物清泄肺热。还有些病人表现为大便不通,因肺与大肠相表里,老师经常使用宣肺方法,使大便得畅。不论什么皮肤病,如银屑病、黄褐斑、白疲风、湿疹、干燥综合症、黑变病等,当患者出现肺经症状时,老师必先治肺,她认为如果肺气失其宣畅,而只着眼于皮肤局部,不会取得良好疗效"	"周冬梅.王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究[D].北京中医药大学,2011."					
18	王莒生	喜用大方重剂治疗	"顾名思义,即药味众多,一般指药物在二十味上下者。有人认为大方理法方药杂乱,寒热虚实混杂,看似全无章法,常为名家所鄙夷。但老师认为皮肤病多为难治性疾病,病因病机较为复杂,影响因素较多,往往是多种病因,作用于多个部位,产生多个病理环节,那么药味少的方剂就难以胜任,而需多众多药物,击破各个病理环节,从而使疑难病好转乃至痊愈。而采用重剂治疗,既是老师承袭赵老经验,也是老师临床摸索得出,老师认为,现今药物多为种植产出,而非野生,药效成分较古代有所不同,而皮肤病多为瘤疾,非重剂不能撼动。正如中医名家裘沛然教授对大方治病所云:“人身之病变化无穷,岂可以一法应无穷之变?立方遣药并不拘于药味之多寡,主要在契合病机。大方复治并不是杂凑的方法,其中实寓有巧思及严密的配伍,有制之师多而不乱,无制之师少亦无章。”对大方复法治病做了如实的评价。临床实践也证实了,大方重剂治疗顽固性疾病确实有一定的优势。另外,现代研究结果显示,某些药物在大剂量时方能起到治疗效果,如据研究,白获慕对酪氨酸酶活性的影响,是低浓度抑制,高浓度激活,故此,临床老师喜用大剂量的白摸慕治疗白疲风,常用15-30g。再如细辛是老师喜用的药物,据现代研究显示,细辛具有较多的药理作用,其抗炎作用机理为,细辛挥发油能增强肾上腺皮质的功能,即有促肾上腺皮质激素样作用;对炎症介质释放、毛细血管通透性增加、渗出、白细胞游走、结缔组织增生等均有明显的抑制作用。但文献中有“细辛不过钱”之说,限制了其临床应用。老师认为,此说法原意是指细辛单用研末时要注意剂量,如《本草纲目》载:“承日:细辛……若单用末,不可过一钱。多则气闭塞不通者死。”但临床一般为复方水煎剂,可以加大剂量,古代文献中亦不乏大剂量应用细辛的记载,如《金匾要略》中有细辛方共22首,用量一般在二、三两之间。根据目前古今度量换算制的研究结果,原方细辛之量均超过了一钱之限。老师临床应用细辛,常在6一109之间。老师治疗皮肤病,从整体出发,药物及心理辅导同时进行,加以适当的调护,以人为本,在纷繁的表象中抓主要矛盾,并调和诸脏,临证取得良效。"	"周冬梅.王莒生学术思想与临床经验总结及辨血为主论治寻常型银屑病的临床研究[D].北京中医药大学,2011."					
19	王莒生	注重预防、早期治疗、主张树立终生治疗的理念	王老师认为银屑病多因内有血热，外感风湿燥热之邪，内外合邪而发病，与肺、脾、肝、心、大肠等脏腑关系密切!治疗上强调以清热解毒、凉血活血、健脾祛湿、疏肝解郁为法、提倡注重预防、早期治疗、主张树立终生治疗的理念。对于久病后气血耗伤者、惯用调免汤益气养血，临证中善于运用赵炳南老中医的多个经验方治疗银屑病，效果显著。	"李伯华,程海英,郑玉红.王莒生治疗银屑病思路[J].北京中医药,2010,01:29-31."					
20	王文春	重视整体观念	"王老认为整体观念是古人在长期实践中总结出的一个重要原则, 肛肠外科也必须遵循这个原则。元代齐德之《外科精义》记载:“ 治其外而不治其内, 治其末而不治其本” 的方法是有缺点的, 明代汪机《外科理例》的序中说:“ 外科者, 以其痈疽疮疡皆见于外, 故以外科名之, 然外科必本于内,知乎内, 以求于外, 其如视诸掌乎。… … 有诸中,然后形诸外, 治外遣内, 所谓不揣其本而齐其末” 。王老进一步解释, 肛肠疾病虽然发生在人体体表居多, 但与整个身体有着密切联系。《灵枢·海论篇》“夫十二经脉者, 内属于脏腑, 外络肢节。” 经络能将人体内而五脏六腑, 外而四肢百骸、皮肤肌肉联系起来进行整体活动。从人体病理变化而言,如《内经》“ 诸痛痒疮皆属于心” 等等, 说明人体脏腑的功能失调可以引起外科疾病。对于肛肠疾病, 王老认为欲求得正确诊断与治疗, 必须从患者整体出发。古人在诊断疾病时所掌握的“ 天时气候, 人事环境, 脏腑盛衰, 神色脉象” 称之四德, 这是祖国医学诊断方法中具有整体观念的特点。"	"郝军.王文春主任医师治疗肛肠疾病经验[J].甘肃中医学院学报,1998,S1:8-10."					
21	王文春	运用四诊八纲合参	"王老认为外科在辨证方面有它特有的内容,即除辨脉辨苔外, 还要着重辨别疮肿形色, 脓小稀稠, 痛痒如何, 以及有酸麻等, 而后才能判定其阴阳、表里、虚实、寒热、顺逆等。另一特点, 就是要将局部辨证与整体辨证密切结合起来。这要通过四诊才能决定, 诊断肛肠疾病四诊中望诊最重要,但有些情况要通过问诊才能获得。如急性肛周脓肿成脓与否, 可通过切诊中的触诊, 按其应指与否来确定。由于人体体质强弱不同, 在疾病发生时出现的全身症状和局部症状也有所不同;同时由于外邪的轻重, 病位的深浅不同, 所反映的全身症状和局部症状也有差异。如肛痈发病后, 系低位脓肿, 则局部症状明显, 而全身症状较轻, 若为深部脓肿, 则局部症状固脓肿位置深隐较轻, 而全身症状重。总之, 在外科诊断中要四诊合参, 立足整体, 重视局部, 正确的分析和处理邪与正, 局部与整体的辨证关系, 才能避免延误诊断与治疗。"	"郝军.王文春主任医师治疗肛肠疾病经验[J].甘肃中医学院学报,1998,S1:8-10."					
22	王文春	内外兼施是治疗的特点	"王老认为:肛肠疾病在治疗上, 有外治法和内治法, 两种治疗方法的运用, 要辨证论治, 而内外兼施是该病治疗方法的特点。在临床上要“ 因病制宜” ,“ 因人制宜” , “因时制宜” , 辨证运用。如患有初期内痔或因年迈体虚的内痔患者, 可以用内治法进行治疗。在患有炎性外痔, 内痔嵌顿, 新鲜肛裂或急性肛门周围脓肿早期患者, 均可采用内外兼施的方法治疗。急性肛周脓肿的发病初期,宜以消为贵。在施治时, 应他细辨虚实、辨部位、以及病情发展趋势, 掌握消法治疗的时机, 方可奏效。如审证不清而拖延医治, 病势已呈酿脓之局,仍用内消之法, 造成毒散不收, 气血受损, 延迟时日而溃破, 溃口不敛, 最终形成肛瘘。故对本病应掌握早期切开排脓的治疗原则。在肛痈早期或末期成脓时勿用托法。正盛邪实不宜用补托法, 以免“ 实其实” 。此外对三期内痔, 陈旧性肛裂, 肛瘘应用手术治疗为主。术后可配合外用药, 如病情较重, 术后可根据辨证情况配合内服药治疗, 对术后运用补法, 如毒邪未尽时, 切勿选用补法, 以免留邪为患。"	"郝军.王文春主任医师治疗肛肠疾病经验[J].甘肃中医学院学报,1998,S1:8-10."					
23	王玉玺	为营卫郁滞，风盛血燥为银屑病的基本病机	王玉玺教授认为“风”邪为银屑病致病的关键因素。银屑病为慢性瘙痒性皮肤病，《诸病源候论》指出: “凡瘙痒者，是体虚受风，风入腠理，与血气相搏，而往来于皮肤之间，邪气微，不能冲击为痛，故但瘙痒也”，痒自风来，风盛则痒，故银屑病发病首先应责之于“风”。银屑病具有发无定处，易发于头皮、肘部，新病骤起或旧病突然复发等临床特点，与风为阳邪、易袭阳位，风性轻扬走窜、无隙不入，风性善行而数变等特性相一致。王玉玺教授认为营卫郁滞，风盛血燥为银屑病的基本病机。《医宗金鉴·外科心法要诀》有: “白疕之形如疹疥，色白而痒多不快，固由风邪客皮肤，亦由血燥难荣外”，指出外邪致病及风盛血燥是银屑病病机的关键所在，即外邪袭表、营卫郁滞导致本病的发生。正所谓“邪之所凑，其气必虚”，当脏腑功能因各种原因失调，或禀赋不足，正虚卫阳不固，腠理疏松，易被风邪所袭，而风邪又常挟寒、湿、热、燥等邪乘虚而入，风邪外袭，肺先受之，卫气被郁，开合失司，导致诸症发生。脏腑功能失调中，肝血虚常是主要原因，肝主藏血，若肝血亏虚，脉络不能满而致营行涩滞，加之风邪外袭，则郁滞更甚，卫郁则化热，营滞则生燥，因此营行滞涩，肤失滋养而化燥脱屑，故临床上出现红色斑、疹之风热证及鳞屑、瘙痒之风燥证。某些患者素体阳盛，外感风寒湿邪，易从阳化热，而出现风热症状。若素体虚寒者，感邪之后，易从阴化寒，表现为风寒或寒湿的症状，外邪盘踞不解，郁久化热，此皆营卫郁滞所致。无论是风燥、风热亦或风寒之证，其共同之处为皆来源于风，只是处于病程发展的不同阶段而已。另外，热与瘀均可引起风气内动而发病。因此可以认为风邪贯穿于银屑病发生发展的始终，风盛血燥、营卫郁滞为银屑病发病的基本病机。	"杨素清,张婷婷,闫景东.王玉玺教授从“风”论治银屑病的经验[J].时珍国医国药,2013,02:460-461."					
24	魏跃钢	"分阶段治疗, 祛脂为先, 生发在后，注重活血化瘀, 安神贯穿始终，内治外治结合, 遵循整体观原则"	"魏教授认为雄激素性脱发治疗宜早, 早期疗效通常较好。在临证治疗中常分为2个阶段:第1 阶段以清利湿热, 减少皮脂溢出为主。常用药物:生地黄、泽兰、泽泻、牡丹皮、茯苓、木瓜、侧柏叶、茵陈、生薏苡仁、茵陈、生山楂、六一散、陈皮等。经过第1阶段治疗, 使脾胃湿热清除, 正气渐充, 神气安宁, 气血生发旺盛, 得以滋养全身。第2阶段以补益脾肾或滋补肝肾, 生发健发为主。在上述药物基础上逐渐加用女贞子、墨旱莲、淫羊藿、仙茅、山药、枸杞子、菟丝子、桑寄生、何首乌等药物。如不予辨证, 早期盲目予大量补肾药物, 不仅不能控制头发脱落, 反而适得其反, 助生湿热, 致头发油腻加重, 脱落增多。 《血证论·瘀血》记载“瘀血在上焦, 或发脱不生”、“发者血之余”, 毛发的正常生长需要血液的濡养, 血液的濡养作用要得到正常发挥, 一是要有足够的血量, 二是血液必须正常运行。现代研究发现, 脂溢性脱发大都存在着微循环功能障碍, 主要表现在血流缓慢、血液高黏滞等, 提示血瘀可能是本病发病机制之一[ 1] 。因此, 魏教授在辨证分阶段治疗的基础上, 加用丹参、鬼箭羽、桃仁、鸡血藤、泽兰、赤芍药等活血化瘀之品, 使血液运行正常, 血液的濡养作用得到正常发挥。由于脱发影响容貌, 常带给患者很大精神压力,多数患者有失眠、多梦、焦虑、不安等症状, 因此在治疗中应加以安神药物, 如夜交藤、茯神、珍珠母等以提高疗效。 在结合辨证与辨病施行内治法的同时, 魏教授还强调局部外用药物及内外合治的重要性。如发质较油, 皮屑较多, 头皮瘙痒, 可予海艾汤(《外科正宗》)散煎水外洗, 药物组成:艾叶、菊花、蔓荆子、薄荷、荆芥穗、防风、藿香、甘松、藁本;伴头皮脂溢性皮炎予院内制剂白屑风酊外搽, 药物组成:蛇床子、苦参、侧柏叶、薄荷;头发稀疏明显处, 可选用本院制剂生发酊(苏药制字Z04000527, 药物组成:土荆皮、骨碎补、樟脑)外搽刺激毛发生长, 改善局部循环。"	"吴学春.魏跃钢论治雄激素性脱发经验[J].河北中医,2011,01:10-11."					
25	许铣	西学中用，宏微结合	许老厉行中西医并举，一直致力于将中医、西医从诊断到治疗相结合、相借鉴，在长期临床实践中取得了比单纯中医或单纯西医更好的临床疗效。对于湿疹患者，许老常常从宏观和微观两个角度进行中医辨证。宏观角度，一方面是皮损辨证:表现为小水疱，丘疱疹，渗出，是“湿邪”浸淫的表现; 基底潮红，是“热邪”壅于皮表的表现; 浸润，肥厚的皮损常是“气滞”、“血瘀”的表现; 干燥，鳞屑是“伤阴”的表现; 瘙痒，抓痕，或有外感“风邪”，或为“肝风”内动。另一方面四诊合参: 对于湿疹患者，饮食、二便、睡眠、情绪、女性月经是每每必问的要点，尤其是大便是偏干还是黏腻不爽; 小便是否溺黄、灼热; 情绪波动对皮损和瘙痒程度的影响以及是否影响到睡眠，都对辨证和治疗有着重要参考价值。湿、热、风、瘀是湿疹辨证几大要点，通过四诊资料可以判断几种症候的轻重程度。微观角度，许老将西医组织病理学表现与中医辨证有机结合起来。湿疹的组织病理主要表现在:( 1) 细胞间及细胞内的水肿。许老将其作为中医“湿”证的物质基础，认为是水湿泛溢肌腠的表现;( 2) 真皮浅层毛细血管扩张，血管周围炎性细胞浸润。许老认为这是“益以火力，亢阳鼓荡，血脉贲张”所致，辨证为“热”证; ( 3) 慢性期棘层增厚，可伴有角化过度和角化不全。其有形可征，甲错增厚，正是“瘀”证的表现。因此，许老在临床上十分强调“湿”、“热”、“瘀”三个基本证素在辨证中的作用，而每一证素的占比不同，在遣方用药上亦有所侧重。因此，湿疹微观皮肤病理表现是宏观中医辨证论治的物质基础，也同时引申出了急性湿疹的治疗以“清热祛湿”为基本法则，慢性湿疹在此基础上还需注重“化瘀”。	"杨佼.许铣教授治疗湿疹经验[J]环球中医药,2015,8(1):66-67
"					
26	许铣	注重身心健康，重视调理患者的心身状态	心身疾病是指心理—社会因素在疾病的发生、发展、预防、治疗及转归等过程中起主导作用的一类躯体疾病。我们在临床工作中常常遇到一些表现为精神神经质状态的患者，如咬甲癖、拔毛癖、自身皮肤残毁以及疑病症等，又如性病疑病症或性病恐怖症患者等等，均为心身障碍所致。另外一大类皮肤病，虽然没有明显的精神神经症状，但发病确实是由精神及心理因素引起的。最初被提出的心身性皮肤病是神经性皮炎，以后随着研究深入，病种不断扩大，除神经性皮炎外，尚有皮肤瘙痒症、银屑病、痤疮、酒渣鼻、脂溢性皮炎、扁平苔藓、湿疹、多汗症、痒疹、慢性荨麻疹、系统性红斑狼疮（SLE）、白癜风、斑秃等多种皮肤病[1]。尤其银屑病的发生、发展及愈后，近年来越来越多的研究结果表明，紧张的生活事件可影响神经、内分泌和免疫系统，通过这些中介在银屑病的发病和加重方面起着一定的作用。此外，精神及心理因素在斑秃、白癜风的发生、发展中也起着主要作用，患者往往随着特殊生活事件的平稳，精神心理状态的改善，病情逐渐恢复。皮肤病及性病患者可能引起的心理问题大致有如下几个方面：1、对所患疾病缺乏了解而引起恐惧心理；2、所患疾病对美观影响而产生自卑心理；3、得了性病而产生自责心理。与精神因素有关的皮肤病很多，但目前仅仅是从临床现象和发病过程来分析。推测发病机制可能是机体在应激状态下引起神经—内分泌系统功能紊乱，以至引起免疫系统紊乱，从而发生各种不同的自身免疫性相关的皮肤病。早在1986 年美国学者就提出了银屑病的发病与神经和精神因素有密切关系，经过多年的基础研究发现，银屑病患者皮损中神经生长因子（NGF）的活性高于非皮损和正常人皮肤。北京空军总医院杨雪琴教授带领她的团队在银屑病心身机制方面经过10 余年的探索研究发现，银屑病患者交感神经的兴奋性和副交感神经的张力均低于正常人。经过生物反馈放松训练治疗后，副交感神经的张力和交感神经兴奋性均有明显改善。进一步应用放射免疫法测定，发现银屑病患者组比正常人对照组血清中有较高含量的神经免疫蛋白，并能抑制正常小鼠的淋巴细胞转化。银屑病患者皮损处神经生长因子及其受体均为高表达；皮损处缺乏发挥应激作用的热休克蛋白20 和70。这些研究结果均表明银屑病患者从全身到皮损局部均存在心身疾病发生的物质基础，是典型的心身性皮肤病[2]。心身医学虽形成于近代，但中医学早就有完整的心身统一观，并有较为完善的情志致病学说。我国经典医著《黄帝内经》关于“形神合一”的记载和论述，表明古人对于心理因素与疾病之间关系的重视。“悲哀忧愁则心动，心动则五脏六腑皆摇”。“法于阴阳，和于术数，食欲有节，起居有常，不妄作劳，故能形与神俱，而尽终其天年，度百岁乃去”。《内经》的这种论述认为情绪因素和不健康的行为可以致病，并且影响疾病的整个过程和决定预后。《素问·四气调神论》认为人的生理活动与心理活动是相互作用的，即所谓“形盛则神旺，形衰则神惫”。“形伤神，神伤形”。情志是人体对客观事物的不同反应，在正常情况下，一般不会致病，只有突然、强烈或长期持久的情志刺激，超过了人体本身的正常生理活动范围，使人气机紊乱，脏腑阴阳气血失调，才会导致疾病的发生。中医情志致病发病机制大抵如下3 点。①情志因素先伤气机继伤脏腑：如《素问·举痛论》：“怒则气上、喜则气缓、悲则气消、思则气结、恐则气下、惊则气乱”。②情志致病亦可直接损伤脏腑，如《素问·阴阳应象大论》：“怒伤肝、喜伤心、悲伤肺、恐伤肾、思伤脾”，或致精血亏损，或生痰成瘀，终致躯体病变。③情志因素先伤心而损及五脏六腑：心主神明，统率五脏六腑，情志伤及神明，引起全身脏腑的功能失调。其中情志因素先伤气机继伤脏腑最为多见，情志因素导致机体气机紊乱，继而以气机紊乱为中介，导致其他病理演变，如气滞而血瘀，气郁而化火，气逆而血妄行溢于脉外，气聚生痰流溢肌肤脏腑，气衰而血虚，气停而水停，凡此种种衍生的病理变化，最终导致脏腑的功能失调。这种由气机紊乱为中介将心理（ 精神）变化与生理变化联系在一起，从而导致心身疾病发生的情志致病理论，经现代医学的研究也得到证实[3]。	"吴小红.许铣调理心身治疗顽固性皮肤病经验[J]中国中西医结合皮肤性病学杂志,2014,13(6):376-379
"					
27	张志礼	提出了皮肤病中医辨证与西医辨病相结合的理论		"[1]王萍. 皮科名医张志礼[J]. 北京中医,1998,03:8-10."					
28	张志礼	"张老师注重中医治病的整体观念,强调外病内治、内外结合的方法"		"[1]王萍. 皮科名医张志礼[J]. 北京中医,1998,03:8-11."					
29	赵炳南	整体观	"赵炳南一生精研多种外科专著,但在医疗实践中从不拘泥古书,通过65年的医疗实践,积累了丰富的临床经验,并提出了自己的独到见解。如对亚急性或`漫性糜烂渗出性皮肤病的研究,提出了“湿滞”说:对慢性肥厚角化性皮肤病的研究,提出了“顽湿”说:对慢性干燥脱屑性皮肤病的研究,提出了“血燥”说。赵老创建了许多疗效显著的经验方,清热除湿汤便是他治疗湿热证皮肤病的经典方。在治疗皮肤病的过程中,他遣药切中,用药精当,药少力专,抓住主证,药到病除。如对缠腰火丹(带状疙疹)后遗症属神经痛的老年患者,经他细心辨证分析,属气隔血.聚之证,遂不拘泥常法,而投以川军破疲止痛,其效立竿见影。又如他治疗风湿疡(急性湿疹)能抓住热盛有湿的特点,投以大剂量苦寒之品来泻热除湿,自创清热除湿汤、除湿丸,疗效显著"	"蔡念宁,李敏,张广中.赵炳南用清热除湿汤治疗急性湿疹(湿热证热重于湿型)的临床经验探析[A].中华中医药学会、重庆市中西医结合学会.中华中医药学会皮肤科分会第七次学术年会、2010年重庆四川中西医结合皮肤性病学术年会、全国中西医结合诊疗皮肤性病新进展新技术学习班论文汇编[C].中华中医药学会、重庆市中西医结合学会:,2010:2."					
