Reference Type	Author	Year	Title	Keywords	Abstract
Conference Proceedings	吕景晶	2019	张志礼教授治疗银屑病的经验		"通过文献回顾分析,总结张志礼教治疗银屑病的经验。首先明确常见九种银屑病中医辩证分型(血热证、血燥证、血瘀证、湿热证、热毒证、寒湿证、风湿毒热证、脓毒证、毒热入营证),根据常见类型从理法方药角度进行梳理分析。并对用药规律进行分析,排前八位的依次是,清热解毒类、清热凉血类、凉血活血类、清热泻火类、养血活血祛瘀类、利水渗湿类、疏风通络类、健脾益类。使用次数90%以上的药物前六位的是:槐花、紫草、茜草根、板蓝根、大青叶、土茯苓。同时总结了常用的对药。总之,进展期采用凉血括血,清热解毒的中药,如紫草、茜草、板蓝根、大青叶、赤芍、茅根、金银花、丹皮、槐花等;对于肥厚性银屑病可用活血化瘀软坚的中药,如桃仁、红花、莪术、三棱、夏枯草、牡蛎、鬼箭羽、士茯苓、土贝母等。"
Journal Article	王根林张志礼	1998	张志礼教授治验三则	掌跖脓疱病;皮肤淀粉样变;带状疱疹后遗神经痛;中医药疗法	张志礼教授是当代著名的中西医结合皮肤科专家，在治疗许多疑难杂症方面积累了丰富的临床经验。笔者在北京中医医院进修期间，跟随张教授临证学习，收获颇丰。兹介绍其验案三则，供同道参考。一、掌跖脓疱病李某，女，３５岁，１９９６年８月３日初诊。１年前双手掌侧，双...
Conference Proceedings	刘矗	2011	张志礼老师中西医结合诊治SLE的经验与临床应用		"<正>引言张老师是中医、中西医结合诊治皮肤病的大师,为中医、中西医结合皮肤病事业的发展建立了不朽的丰碑。采用中西医结合方法诊治SLE是老师的学术精髓之一。在跟随老师学习、工作的日子里,在离开老师南下工作的过程中,有很深的体会是张老师在中西医结合诊治SLE方面有独到之处。中西医结合治疗不仅提高了广大患者的生存率,更改善了患者的生存状况。他在这方面的临床研究以及逐渐形成的学术思想为后来者提供了理论基础,他诊治这些疾病的经验为我们提供了可供借鉴的实际范例。"
Journal Article	娄卫海; 王萍	2015	张志礼皮肤病“治风”八法辨析	张志礼;皮肤科;祛风法;各老中医经验	"通过研读相关著作,并结合个人临证体会,对张志礼教授清热祛风法、凉血熄风法、散寒祛风法、除湿搜风法、宣痹祛风法、养血疏风法、养阴疏风法、固表疏风法等皮肤病""治风""八法的辨证要点、中医证型及疾病种类、代表方剂、方药组成及组方特点加以归纳和总结。"
Conference Proceedings	娄卫海	2011	张志礼先生治疗掌跖脓疱病临床经验		"<正>掌跖脓疱病是一种发生在掌跖的慢性复发性无菌性脓疱性皮肤病,其特点是在红斑基础上周期性地反复发生无菌性小脓疱,病因不明。属中医""瘑疮""范畴。病情非常顽固,常迁延不愈。掌跖脓疱病是皮科顽症之一,根据其临床特点,大致与中医古文献所载""瘑疮""相符。《诸病源候论·瘑疮候》""瘑疮者,由肤腠虚,风湿之气,折于血气,结聚所生。多著手足间,递相对,如新生茱萸子。痛痒抓搔成疮,黄汁出,浸淫生长,拆裂,时瘥时剧,变"
Journal Article	郭昕炜; 李萍; 陶毅; 孙丽蕴; 张芃; 王萍	2020	张志礼治疗白癜风经验	白癜风;名医经验;张志礼	"总结张志礼教授治疗白癜风的临证经验。将白癜风分为肝肾阴虚型,心肾不交、心脾两虚型,肝郁气滞、气血失和型进行辨证论治。在治疗用药方面,最常使用补虚药,其次是活血化瘀药和理气药,再次是解表药和平肝熄风药。临证以补益、调肝、调理气血为重,擅用赵炳南教授白驳丸加减治疗,自创白癜风酒浸剂,倡内外合治。"
Journal Article	吴晓红	1997	张志礼治疗毛发红糠疹红皮症验案一则	毛发红糠疹红皮症;清营凉血;解毒利湿法	
Journal Article	姜春燕; 杨岚; 周冬梅; 张广中; 孙丽蕴; 曲剑华; 王萍; 张苍	2020	张志礼治疗皮肤科重症经验	张志礼;中西医结合;皮肤科重症	"张志礼教授是中西医结合皮肤病学的开拓者,继承了赵炳南教授经验,并进一步弘扬和发展了该经验。张教授治疗皮肤科重症,不仅力求精准辨证、提高疗效,还强调中西医结合、中西医并重;常以解毒凉血汤联合激素、免疫抑制剂治疗重症急进期患者;以解毒养阴汤治疗重症恢复期,尽快减少激素用量,避免激素不良反应,促进机体修复。张教授还将辨证与辨病、辨证与辨药相结合,根据疾病不同阶段特点,精准用药。"
Journal Article	王萍; 张芃	1999	张志礼治疗湿疹经验	湿疹/中医药疗法;名医经验;@张志礼	"<正> 张志礼教授行医40多年,临床经验丰富。笔者有幸随师学习,特将张师治疗湿疹经验整理如下。1 病机探讨张师认为本病常因饮食不节或过食腥发动风之品,伤及脾胃,脾失健运,致使湿热内蕴,复感外界风湿热邪,内外两邪相搏,充于腠理,浸淫肌肤,发为本病;病程日久则耗伤阴血,化燥生风。小儿则多因禀赋不耐,饮食不节,胃肠滞热而发。"
Journal Article	时水治	2002	张志礼治疗系统性红斑狼疮的经验	系统性红斑狼疮;健脾益肾;调和阴阳法;老中医经验	"系统性红斑狼疮是自身免疫病 ,也是皮肤病中疑难重症。张志礼教授针对本病以脾肾两虚、阴阳失调为核心的病理机制 ,采用健脾益肾、调和阴阳为主的方法辨证论治 ,取得了良好的疗效。"
Journal Article	张芃王萍	1999	张志礼治疗系统性红斑狼疮经验	系统性红斑狼疮;老中医经验	张志礼教授是我国著名的中西医结合皮肤科专家，行医四十余载，临床经验丰富，擅长治疗皮科疑难杂证，特别是对红斑狼疮的诊治有其独到之处。他临症结合现代医学实践检查，将辨病、辨证有机联系在一起，摸索出一套较为完整、有效的诊治方法。笔者有幸随师学习，受益匪浅，...
Journal Article	王萍张芃韩冰张志礼	2000	张志礼治疗荨麻疹经验		"<正> 荨麻疹俗称“风疙瘩”,是一种常见的过敏性皮肤病,临床表现为局限性风疹块损害,大小不等,骤然发生,迅速消退,瘙痒剧烈,愈后不留任何痕迹。与祖国医学文献中记载的“(疒咅)瘤”、“瘾疹”相类似。我们跟随张志礼老师学习,体会到他对荨麻疹的中医辨证施治有独到之处,临床疗效显著。兹将张志礼老师的经验介绍如下。"
Journal Article	张芃; 王萍	1998	张志礼治疗异位性皮炎经验	异位性皮炎/中医药疗法	"<正> 异位性皮炎,亦名遗传过敏性湿疹、异位性湿疹、特应性皮炎等,是一种具有遗传倾向的过敏性皮肤病,多数患者有免疫球蛋白IgE增高的免疫异常,以及家族中有过敏疾病病史(如哮喘、荨麻疹、枯草热、过敏性鼻炎等)。患者常自幼患婴儿湿疹,经久不愈,迁延所致。一般临床上分为3个阶段:婴儿期、儿童期、青少年或成人期。婴儿期常表现为婴儿湿疹,儿童期常表现"
Journal Article	王莒生; 王萍; 邓丙戌; 张凡	2006	张志礼治疗银屑病的用药特点及常用对药配伍	银屑病;中医药疗法;对药;张志礼	
Journal Article	蔡念宁	2002	张志礼治疗硬皮病经验	硬度病;局限性/中医药疗法;名医经验;@张志礼	"<正> 已故张志礼教授有丰富的中西医结合治疗经验。现将张志礼教授治疗硬皮病的经验整理如下。硬皮病在中医学中归入“痹证”范畴。由《素问·痹论》云:“痹在于骨则重,在于脉则血凝而不流,在于筋则屈不伸,在于肉则不仁,在于皮则寒。”《诸病源候论》云:“痹者……其状肌肉顽厚……由血气虚则受风湿而成此病,日久不愈,入于经络,搏于阳经,亦变全身手足不随。”因于此说,从脾肾阳虚、气血不足、卫外不固、腠理不密。风寒湿之邪乘隙而侵,阻于皮肉之间,久之耗伤阴血,脏腑失调而导致的疾患,称之为“皮痹”。张教授认为该病以肺脾肾阳气不足为本,而以风寒湿三气杂至为标,将硬皮病分为如下两大证型。在治疗中,抓"
Journal Article	刘欣蔚; 徐佳; 王萍	2022	张志礼治疗硬皮病临证经验	硬皮病;名医经验;张志礼;皮痹;肌痹;血痹	"张志礼教授治疗自身免疫性皮肤病造诣颇高，在治疗硬皮病方面形成了独特的辨治体系。张志礼教授认为硬皮病的核心病机为脾肾阳虚，气血凝滞，治疗本病的主要法则为健脾益肾、活血化瘀。张志礼教授将本病辨证分为脾肺不足、脾肺肾俱虚两个证型。病情初期，皮损局限，证多属脾肺不足，以补益脾肺,温经通络,活血软坚为法治疗；病情后期，或呈现系统性损害，则证属脾肺肾俱虚，以健脾肺益肾、湿阳化水、活血软坚为法治疗。同时结合外治疗法可取得事半功倍之效。"
Journal Article	娄卫海; 王萍; 张芃	2012	张志礼治疗掌跖脓疱病经验	掌跖脓疱;血热证;湿毒证;张志礼	"掌跖脓疱病是一种临床常见的皮肤科疾病,近现代中医对它的病因病机和治疗方法进行了许多有益的探索。张志礼教授认为本病的基本病因病机为毒热炽盛,腐肉成脓;湿热内蕴,腐熟为脓。并将清热凉血、解毒除湿作为本病的两个基本治疗原则。临床使用时清热凉血应该注意清气护阴;解毒除湿需要预防苦寒伤脾,温燥助热。同时也应注重外用药的使用和疾病的预防。"
Journal Article	安家丰; 张芃	1993	张志礼治疗重症红斑狼疮及皮肌炎的经验	红斑狼疮;全身性/中医药疗法;皮肌炎/中医药疗法;@张志礼	"<正> 红斑狼疮、皮肌炎等结缔组织病治疗困难,目前以皮质激素、免疫抑制剂为主的西药治疗有效,但易复发,长期用药会导致严重的毒副作用和并发症。张志礼老师运用中西医结合疗法,从养阴益气、健脾益肾入手,取得了显著疗效,现介绍其中几例。例1:狼疮脑病"
Journal Article	朱慧婷; 王萍; 娄卫海; 周冬梅; 陈维文; 蔡念宁	2020	张志礼中西医结合辨治银屑病临床经验	张志礼;银屑病;从血论治;毒邪;血瘀	"张志礼教授师从赵炳南教授,从事皮肤性病学科临床、教学、科研工作45年,在中医、中西医结合治疗方面造诣深厚。张教授治疗寻常型银屑病主张""从血论治、解毒药贯穿始终"",其中针对血热证,治以清热解毒、凉血活血;血燥证,治以养血活血润肤、健脾除湿解毒;血瘀证,治以活血化瘀软坚、除湿解毒。对于脓疱型银屑病,张教授认为急性期属湿热蕴毒,病久多属阴伤;关节型银屑病分为毒热阻络、寒湿痹阻、肝肾亏损3型论治;红皮病型银屑病则分为毒热炽盛、阴虚血瘀2型论治。"
Journal Article	王萍张芃邓丙戌孙丽蕴	2005	张志礼中医辨证治疗银屑病方法及临床研究(二)		
Journal Article	王萍张芃邓丙戌孙丽蕴	2004	张志礼中医辨证治疗银屑病方法及临床研究(一)		
