Reference Type,Author,Year,Title,Keywords,Abstract
Journal Article,陈维文; 卢良君; 陈潍; 孙晨; 王萍,2021,王萍应用秦艽丸方治疗皮肤病经验,秦艽丸;皮肤病;气血不和;正虚邪实,"""文章就王萍教授应用秦艽丸方治疗皮肤病的经验进行总结。王萍教授继承了赵炳南先生和张志礼教授的学术经验,认为秦艽丸方整体偏寒,兼顾补益,是皮肤科常用的调和阴阳的方剂,适用于风、湿、热、毒、瘀等邪气所致的气血不和、正虚邪实之证,临床上可将秦艽丸方改为汤剂应用,随症加减治疗自身免疫性、红斑鳞屑类、无菌性脓疱类等多种慢性、顽固性皮肤病和皮肤瘙痒。"""
Journal Article,贺冰; 顾佳棋; 王萍,2022,王萍运用滋水涵木法联合耳穴压豆治疗绝经前后诸证经验,绝经前后诸证;肝肾阴虚;滋水涵木法;耳穴压豆;名医经验;王萍,介绍王萍教授运用滋水涵木法联合耳穴压豆治疗绝经前后诸证经验。王教授认为绝经前后诸证的病机多因肾气衰退，冲任亏虚，肝失濡养，阴阳失调，阴虚阳亢所致。治宜滋水涵木，自拟滋肾益肝方滋肾养阴，调补冲任，调和阴阳，并配合耳穴压豆治疗，同时注重饮食调理，情志调节，获得显著疗效。并附验案1则，以资佐证。
Journal Article,袁娇; 王萍; 顾佳琪,2019,王萍治疗肥胖型多囊卵巢综合征不孕经验,多囊卵巢综合征;不孕症;肥胖;痰湿;名医经验;王萍,"""介绍王萍教授运用补肾化痰与调周之法治疗肥胖型多囊卵巢综合征(PCOS)所致不孕症的经验。王教授认为肥胖型PCOS的病机以痰湿阻滞为主,兼有肾虚、血瘀,治法以补肾化痰为主,佐以活血化瘀之法。自拟化痰调经方,并根据月经周期变化灵活加减运用。月经期,因势利导,加红花、路路通等活血调经;经后期,以补肾阴为主,加桑椹、女贞子等;经间期,以补肾活血为主,加丹参、红花等;经前期,宜补肾之阴阳,加淫羊藿、女贞子等。临床疗效显著。"""
Journal Article,朱慧婷; 杨丽云; 王萍,2019,王萍治疗慢性荨麻疹经验及方药分析,王萍;慢性荨麻疹;秦艽;柴胡;中医药疗法;名中医经验,"""慢性荨麻疹是皮肤科常见病,部分患者顽固难愈。王萍教授在长期临床实践中,继承赵炳南教授、张志礼教授学术思想,结合自身体会,总结出以中医理论辨治顽固性荨麻疹的独特经验。王教授善用赵老四藤方和秦艽以除湿疏风清热、调和阴阳气血,重视柴胡剂的应用,重视对""""三因制宜""""""""治病必求于本""""的实践。"""
Journal Article,徐立平; 谢海平; 王萍,2018,王萍治疗青春期多囊卵巢综合征经验,青春期;多囊卵巢综合征;补肾活络方;名医经验;王萍,"""青春期多囊卵巢综合征(PCOS)是一种好发于青春期女性的内分泌紊乱综合征。王萍教授认为本病病因病机重在肾虚血瘀。在治疗上,根据多年的经验总结,运用补肾活络方治以补肾活血、逐瘀通经,取得了显著疗效。并附验案1则,以资佐证。"""
Journal Article,陈维文; 王萍,2016,王萍治疗银屑病经验,王萍;银屑病;辨血为主;从血论治;中医药疗法;名医经验,"""王萍教授治疗寻常型银屑病的内涵为""""辨血为主,从血论治"""",对红皮病型银屑病、脓疱型银屑病和关节病型银屑病的中医证治,以及银屑病中医治疗中中药毒性、中药过敏和中药耐药的认识和处理办法见解独到,主张根据病情施以中西医结合治疗方案,疗效显著。"""
Journal Article,李光宇,2014,王萍中医辨治系统性红斑狼疮经验,系统性红斑狼疮;王萍;名医经验,"""介绍王萍老师辨治系统性红斑狼疮经验。王老师认为本病以虚证占主导地位,其中脾肾两虚、阴阳不调是本病的核心病机,因此在治疗时,应确立扶正重于祛邪的指导思想,辨病与辨证相结合,即使在急性期本着""""急则治其标""""的原则而采用清热解毒凉血药,也不要忘记""""顾护阴液""""。若病情迁延,则更要注重扶正固本。扶正以健脾益肾、调和阴阳为核心,佐以滋阴、养血、益气、温阳之法;祛邪则多以清热解毒、祛风除湿为原则。"""
Journal Article,张宏王萍波周淑华贾秀珍,1996,心脑舒通、复方丹参治疗冠心病心绞痛疗效比较,,心脑舒通、复方丹参治疗冠心病心绞痛疗效比较王萍波，周淑华，贾秀珍，张宏一、临床资料１９９２年３月至１９９３年３月期间住院的老年冠心病心绞痛患者９２例随机分两组。心脑舒通组５７例，男３９例、女１８例，年龄６０～８０岁、平均６８．２岁，劳力型心绞痛４８例...
Journal Article,王萍崔向军,1995,宣痹汤治疗痛风14例小结,痛风;中医药疗法;宣痹汤;治疗应用,宣痹汤治疗痛风１４例小结宜昌市中心人民医院（４４３０００）崔向军，王萍关键词痛风，中医药疗法，宣痹汤，治疗应用痛风（Ｇｏｕｔ）是长期螵呤代谢障碍、血尿酸增高所致组织损伤的一组疾病。自１９９０年以来，应用中药清化湿热法治疗痛风１４例，临床取得了良好的缓...
Journal Article,王萍,1998,针刺治疗血管性头痛的体会,,针刺治疗血管性头痛的体会２１００２９南京医科大学脑科医院王萍血管性头痛是一种由于血管舒缩功能障碍引起的搏动性头痛。祖国医学称为“偏头痛”、“边头风”，“少阳头痛”。严重者头痛难忍，漾漾欲呕，极为痛苦。１临床表现搏动性头痛，呈周期性发作，有单侧或两侧交...
Journal Article,王萍,1995,针灸推拿治疗腰痛100例,腰痛;针灸疗法;推拿疗法;疗效观察,针灸推拿治疗腰痛１００例济南市历下区人民医院（２５００１１）王萍关键词腰痛，针灸疗法，推拿疗法，疗效观察１病例选择本组病例均来自本院门诊及病房。其中门诊７８例，病房２２例，全部病例均据患者主诉及必要的检查，排除肿瘤、结核及内、妇科疾病引起的腰痛。本组...
Journal Article,王萍,1998,中西医结合治疗银屑病3例,中西医结合;银屑病,中西医结合治疗银屑病３例武警天津总队机关门诊部王萍（天津３０００４２）关键词中西医结合，银屑病银屑病（又名牛皮癣）是一种原因不明而常见的无传染性红斑鳞屑性皮肤病，中医称“白疵”、“干癣”。我们采用中西医结合治疗银屑病效果满意。例１：女性，３８岁。主因...
Newspaper Article,曹玉祥,,中西医结合治牛皮癣,,
Journal Article,李佳佳; 李伯华; 马一兵; 张广中,2014,中药蒸发罨包治疗皮肤病的临床应用综述,皮肤病;中药蒸发罨包;中医外治法;文献综述,"""<正>中药蒸发罨包法属中医外治方法,是将传统溻、敷、蒸法有机结合而形成的一种方法。此法不仅可应用于急性糜烂渗出的皮肤病,还可用于亚急性皮肤炎症局部血行不畅者以及慢性溃疡者。中药可使用具有清热解毒、利湿杀虫功效的单方或复方。1中药蒸发罨包法作用机制中药蒸发罨包法属于闭锁或冷热交换湿敷的范畴[1],不仅具有热敷法的消炎止痒作用,还可以通过冷热交替增加血管舒缩功能,抑制渗出。"""
Newspaper Article,曹玉祥,,中医辨证治疗白塞病,,
Newspaper Article,曹玉祥,,中医治疗皮肤瘙痒有良效,,
