head,head_type,tail,tail_type,relation,journal_id,docs
科技创新,医学支柱,发展支撑保障,中医药政策,支持,2024374,强化卫生健康事业发展支撑保障 今年的全国卫生健康工作会议提出，强化卫生健康事业发展的支撑保障，在法治建设、投入保障、科技创新、发展壮大医疗卫生队伍、加强平安医院建设、加强医疗行业综合监督、守牢意识形态阵地等领域圈出重点。这体现出，发展卫生健康事业坚持统筹观念，进一步补短板、强弱项，目......
医疗队伍发展壮大,医学支柱,发展支撑保障,中医药政策,支持,2024374,强化卫生健康事业发展支撑保障 今年的全国卫生健康工作会议提出，强化卫生健康事业发展的支撑保障，在法治建设、投入保障、科技创新、发展壮大医疗卫生队伍、加强平安医院建设、加强医疗行业综合监督、守牢意识形态阵地等领域圈出重点。这体现出，发展卫生健康事业坚持统筹观念，进一步补短板、强弱项，目......
枇杷,植物,,,有毒吗,2024372,盘点《延禧攻略》中的中医误区 伴随着清宫剧《延禧攻略》的热播，剧情细节和演员表演引人入胜，但是剧中一些中医元素的细节，可能又让中医背“锅”了。 疑点一：枇杷新叶有毒？ 剧中女主魏璎珞遇到的第一危及性命的“闯关游戏”就是因帮助愉贵人找出害她流产的凶手，而大胆说出“枇杷老叶无毒，但......
魏璎珞,角色,,,遇到危险情况,2024372,盘点《延禧攻略》中的中医误区 伴随着清宫剧《延禧攻略》的热播，剧情细节和演员表演引人入胜，但是剧中一些中医元素的细节，可能又让中医背“锅”了。 疑点一：枇杷新叶有毒？ 剧中女主魏璎珞遇到的第一危及性命的“闯关游戏”就是因帮助愉贵人找出害她流产的凶手，而大胆说出“枇杷老叶无毒，但......
Montmorillonite,蒙脱石,2∶1型层状硅酸盐结构,化学成分,有着吸附特性,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
Montmorillonite,蒙脱石,儿童轮状病毒腹泻,疾病,用于治疗,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
Gypsum,滑石,蒙脱石,蒙脱石,同属于硅酸盐类矿物药,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
Gypsum,滑石,儿童轮状病毒腹泻,疾病,用于治疗,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
Montmorillonite,蒙脱石,超细滑石粉,药物制成方法,制备方式,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
Gypsum,滑石,直接口服,服用方法,服用方式,2024368,"""从蒙脱石治疗儿童轮状病毒腹泻话中药滑石 蒙脱石目前是治疗儿童轮状病毒腹泻常规有效的药物,越来越多的消化系统疾病正在尝试应用蒙脱石治疗。滑石与蒙脱石同属于硅酸盐类矿物药,早在汉代《神农本草经》就有治疗""""身热腹泻""""的记载,研究表明,滑石治疗儿童轮状病毒腹泻,无论是入方还是单用,疗效肯定,原因在于其2∶1型层状硅酸盐结构的吸附特性。在应用滑石治疗儿童轮状病毒腹泻乃至各种感染性腹泻时,滑石的制备过程和服用方式可借鉴蒙脱石中科学元素,选用超细滑石粉,及直接口服等方式,来提高疗效。"""
自汗病,中医证候,气虚,中医证型,主治,1318297,自汗病治疗药物性味归经频数分析 目的:归纳总结自汗病证候特点及临床治疗用药规律。方法:从药物类别、性、味、归经等方面，采用频数分析法，对收集到的208则自汗病古今医案中的药物进行挖掘分析。结果:自汗病以气虚为主要证侯，治疗用药多为甘温之品，药物多归属肺、脾两经。结论:自汗病以肺气不足、脾气虚弱两种证型最为常见。
自汗病,中医证候,甘温之品,用药性味,用药,1318297,自汗病治疗药物性味归经频数分析 目的:归纳总结自汗病证候特点及临床治疗用药规律。方法:从药物类别、性、味、归经等方面，采用频数分析法，对收集到的208则自汗病古今医案中的药物进行挖掘分析。结果:自汗病以气虚为主要证侯，治疗用药多为甘温之品，药物多归属肺、脾两经。结论:自汗病以肺气不足、脾气虚弱两种证型最为常见。
自汗病,中医证候,肺气不足,中医证型,治则,1318297,自汗病治疗药物性味归经频数分析 目的:归纳总结自汗病证候特点及临床治疗用药规律。方法:从药物类别、性、味、归经等方面，采用频数分析法，对收集到的208则自汗病古今医案中的药物进行挖掘分析。结果:自汗病以气虚为主要证侯，治疗用药多为甘温之品，药物多归属肺、脾两经。结论:自汗病以肺气不足、脾气虚弱两种证型最为常见。
自汗病,中医证候,脾气虚弱,中医证型,治则,1318297,自汗病治疗药物性味归经频数分析 目的:归纳总结自汗病证候特点及临床治疗用药规律。方法:从药物类别、性、味、归经等方面，采用频数分析法，对收集到的208则自汗病古今医案中的药物进行挖掘分析。结果:自汗病以气虚为主要证侯，治疗用药多为甘温之品，药物多归属肺、脾两经。结论:自汗病以肺气不足、脾气虚弱两种证型最为常见。
乌梅丸,方剂,伤寒论,著作,出自,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
乌梅丸,方剂,蛔厥证及久痢,疾病或症状,主治,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
蛔厥证及久痢,疾病或症状,乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药,方剂组成,有,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
蛔厥证及久痢,疾病或症状,寒温并用,治疗原则,运用,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
寒温并用,治疗原则,乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药,方剂组成,施用于,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
结肠炎,疾病,乌梅丸加减,治疗,由,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
乌梅丸,方剂,张仲景《伤寒论》厥阴篇,医籍,出自,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
结肠炎,疾病,蛔厥证及久痢,中医症状,主治,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
乌梅丸,方剂,十味药,药物列表,有药物组成,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
乌梅丸,方剂,,,以寒温并用,2024345,"""乌梅丸加减治疗结肠炎验案举隅 <正> 乌梅丸出自张仲景《伤寒论》厥阴篇,主治蛔厥证及久痢。方药组成有乌梅、细辛、干姜、黄连、当归、附子、蜀椒、桂枝、人参、黄柏等十味药.本方以寒温并用,辛、苦、酸、甘共施,标本兼顾,不但安蛔止痛,且对于久痢及反胃呕吐,属于寒热错杂、正"""
青春期多囊卵巢综合征,疾病,内分泌代谢相关的妇科疾病,疾病,涉及,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
中医发病机理,理论,肾—天癸—冲任—胞宫功能失调,功能失调,涉及,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
中西医治疗,治疗方法,一般治疗,治疗方法,包含,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
中西医治疗,治疗方法,西医治疗,治疗方法,包含,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
中西医治疗,治疗方法,中医治疗,治疗方法,包含,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
中西医治疗,治疗方法,中西医结合治疗,治疗方法,包含,2024331,"""青春期多囊卵巢综合征的中西医发病机制及治疗进展 青春期多囊卵巢综合征(adolescent polycystic ovary syndrome,PCOS)是一种常见的与内分泌代谢相关的妇科疾病。随着其发病率的不断升高,此病已成为当前内分泌领域的研究热点。通过对近5年的国内外相关文献总结分析发现:青春期PCOS的西医发病机制主要与遗传因素、代谢综合征、肥胖、环境因素等有关;中医发病机理主要与肾—天癸—冲任—胞宫功能失调有关。目前临床上常用的治疗方法包括:一般治疗、西医治疗、中医治疗、中西医结合治疗,且不同治疗方法各有优缺点。"""
湿热,中医证型,清热药、苦寒药、心肝经药物,用药,主要,2024583,"""赵炳南87例皮肤病医案立法与组方用药规律探讨 对赵炳南皮肤病87例医案用药从功效、四气、五味及归经进行统计分析,结果显示:清热药、苦寒药、心肝经药物使用最多。以方测证,概括出赵炳南以湿热立论,强调脏腑辨证,善从心肝火盛论治。突出清泄与宣透,凉血与解毒,健脾与清解,养血与敷布相配伍的用药规律。"""
赵炳南,名医,脏腑辨证从心肝火盛论治,治法,使用,2024583,"""赵炳南87例皮肤病医案立法与组方用药规律探讨 对赵炳南皮肤病87例医案用药从功效、四气、五味及归经进行统计分析,结果显示:清热药、苦寒药、心肝经药物使用最多。以方测证,概括出赵炳南以湿热立论,强调脏腑辨证,善从心肝火盛论治。突出清泄与宣透,凉血与解毒,健脾与清解,养血与敷布相配伍的用药规律。"""
心肝火盛,中医辨证,清泄与宣透、凉血与解毒、健脾与清解、养血与敷布,用药原则,主要,2024583,"""赵炳南87例皮肤病医案立法与组方用药规律探讨 对赵炳南皮肤病87例医案用药从功效、四气、五味及归经进行统计分析,结果显示:清热药、苦寒药、心肝经药物使用最多。以方测证,概括出赵炳南以湿热立论,强调脏腑辨证,善从心肝火盛论治。突出清泄与宣透,凉血与解毒,健脾与清解,养血与敷布相配伍的用药规律。"""
赵炳南,姓名,皮肤病,疾病,以中医治病,2024583,"""赵炳南87例皮肤病医案立法与组方用药规律探讨 对赵炳南皮肤病87例医案用药从功效、四气、五味及归经进行统计分析,结果显示:清热药、苦寒药、心肝经药物使用最多。以方测证,概括出赵炳南以湿热立论,强调脏腑辨证,善从心肝火盛论治。突出清泄与宣透,凉血与解毒,健脾与清解,养血与敷布相配伍的用药规律。"""
刺络疗法,中医治疗方法,虚证,病证,用于,2024525,"""“刺络放血补虚”渊源及机理考 刺络放血是中医特色治疗技法之一，既往其适应症主要为热证、实证、瘀证等。至金元后，刺络放血用于虚证的报道逐渐增多，但其观点及操作方法又呈现不同的派别。本文考证刺络放血疗法用于治疗虚证在各朝代的主要适应症，并对不同流派之间观点差异进行分析，对其治疗手法的差异及治疗原理的不同进行整理。笔者发现刺络疗法用于虚证、阴证从《内经》已有报道。这其中观点又分两派，一种以李杲为代表的刺络健脾补虚派；第二种是通过祛瘀，使瘀去新生而达到扶正的目的。两类观点在建国后临床应用均疗效确切。其操作手法存在差异，前者更强调“穴位的选取”,刺中络脉即可，并不强求出血；而后者除选穴外对局部放血的操作更加注重，除了刺络外还强调局部放血的重要性。前者机理在于增强免疫功能扶正补虚，而后者一定程度上改变微循环、局部血流动力学补虚。当代名家在临床和理论上进一步突破，如将刺络疗法用于阴证、虚证疮疡，提出“络以通为用”,刺络放血可“以通为补”,更好指导了刺络放血疗法在虚证类疾病的应用。"""
