ID,名医,资料来源,西医病名,中医病名,证候,临床表现,治法,方名,组成,主治,加减,用法用量,论治经验,方解,备注
17,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风湿证,"多见于亚急性或慢性痉痒性皮肤疾患。发作急,皮疹颜色较淡,可有水疤$糜烂$渗液$抓痕$结痴,自觉阵发性剧痒夜间尤甚,皮损经久搔抓后可有继发感染或湿疹样改变。舌质淡,苔薄或白腻,脉缓。",祛风$除湿,全虫方,全虫$皂角$皂刺$炒槐花$苦参$白鲜皮$刺蒺藜$威灵仙$黄柏。,,,,,,
18,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,风湿证,"多见于亚急性或慢性痉痒性皮肤疾患。发作急,皮疹颜色较淡,可有水疤$糜烂$渗液$抓痕$结痴,自觉阵发性剧痒夜间尤甚,皮损经久搔抓后可有继发感染或湿疹样改变。舌质淡,苔薄或白腻,脉缓。",祛风$除湿,祛风燥湿汤,乌蛇$独活$白芷$藁本$黄柏$白鲜皮$银花$甘草。,,,,,,
19,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,血虚风燥证,"多见于慢性痰痒性$角化性肥厚性皮肤疾患。此证多见于老年人,临床上除了有血虚证的表现以外,还兼有动风和干燥的症状。患者常常面色苍白无华$口唇爪甲淡白$毛发不荣$头晕目眩$手足震颤$心悸失眠$口燥咽干$声音嘶哑。全身皮肤干涩粗糙,有明显抓痕$血痴。皮损反复发作,迁延日久,皮疹色淡或灰白伴轻度脱屑。疹痒明显,常常影响睡眠。舌质红或淡,少苔,脉沉数或沉细。",养血活血$祛风止痒,养血消风散,熟地$当归$荆芥$白蒺藜$苍术$苦参$麻仁$甘草。,,,,,,
20,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,血虚风燥证,"多见于慢性痰痒性$角化性肥厚性皮肤疾患。此证多见于老年人,临床上除了有血虚证的表现以外,还兼有动风和干燥的症状。患者常常面色苍白无华$口唇爪甲淡白$毛发不荣$头晕目眩$手足震颤$心悸失眠$口燥咽干$声音嘶哑。全身皮肤干涩粗糙,有明显抓痕$血痴。皮损反复发作,迁延日久,皮疹色淡或灰白伴轻度脱屑。疹痒明显,常常影响睡眠。舌质红或淡,少苔,脉沉数或沉细。",养血活血$祛风止痒,养血熄风方,黄芪$当归$白芍$川芎$红花$玄参$荆芥$白蒺藜$甘草。,,,,,,
21,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,血虚风燥证,"多见于慢性痰痒性$角化性肥厚性皮肤疾患。此证多见于老年人,临床上除了有血虚证的表现以外,还兼有动风和干燥的症状。患者常常面色苍白无华$口唇爪甲淡白$毛发不荣$头晕目眩$手足震颤$心悸失眠$口燥咽干$声音嘶哑。全身皮肤干涩粗糙,有明显抓痕$血痴。皮损反复发作,迁延日久,皮疹色淡或灰白伴轻度脱屑。疹痒明显,常常影响睡眠。舌质红或淡,少苔,脉沉数或沉细。",养血活血$祛风止痒,风癣汤,生地$玄参$丹参$当归$白芍$茜草$红花$黄芪$苦参$苍耳子$白鲜皮$地肤子$甘草。,,,,,,
22,朱仁康,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,血虚风燥证,"多见于慢性痰痒性$角化性肥厚性皮肤疾患。此证多见于老年人,临床上除了有血虚证的表现以外,还兼有动风和干燥的症状。患者常常面色苍白无华$口唇爪甲淡白$毛发不荣$头晕目眩$手足震颤$心悸失眠$口燥咽干$声音嘶哑。全身皮肤干涩粗糙,有明显抓痕$血痴。皮损反复发作,迁延日久,皮疹色淡或灰白伴轻度脱屑。疹痒明显,常常影响睡眠。舌质红或淡,少苔,脉沉数或沉细。",养血活血$祛风止痒,潜阳熄风方,生地$熟地$当归$何首乌$紫贝齿$磁石$生龙牡$代赭石$珍珠母$白芍。,,,,,,
23,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,脾虚血燥证,"多见于慢性肥厚角化性皮肤疾患。此证患者的皮损多为限局性损害,表现为不定时痉痒。病程日久,皮损表面粗燥肥厚欲裂$部分呈苔鲜样改变,伴有明显抓痕$血痴及色素沉着。可有身倦乏力$食欲差$形体消瘦$大便澹$失眠多梦等。舌质淡,舌体胖,少苔或白苔,脉细弱或沉缓。",健脾益气$养血润燥,多皮饮,地骨皮$五加皮$桑白皮$干姜皮$大腹皮$白鲜皮$丹皮$茯苓皮$冬瓜皮$扁豆皮$川模皮。,,,,,,
24,赵炳南,金力. 赵炳南等医家经验方剂在湿疹皮炎类疾患中的临床运用体会[C]//论文集:2009.,湿疹$皮炎,,脾虚血燥证,"多见于慢性肥厚角化性皮肤疾患。此证患者的皮损多为限局性损害,表现为不定时痉痒。病程日久,皮损表面粗燥肥厚欲裂$部分呈苔鲜样改变,伴有明显抓痕$血痴及色素沉着。可有身倦乏力$食欲差$形体消瘦$大便澹$失眠多梦等。舌质淡,舌体胖,少苔或白苔,脉细弱或沉缓。",健脾益气$养血润燥,健脾润肤汤,党参$茯苓$苍术$白术$当归$丹参$鸡血藤$赤芍$白芍$生地$陈皮。,,,,,,
25,赵炳南$张志礼,"李伯华,曲剑华,张广中,张苍.清热除湿$凉血解毒法治疗癣菌疹体会[J].中医杂志,2014,14:1238-1240.",癣菌疹,脚湿气,湿热内蕴(热重于湿),皮炎湿疹类等急性皮肤病,清热利湿$凉血解毒,清热除湿汤,龙胆$ 黄芩$ 白茅根$ 生地黄$ 大青叶$ 车前子$ 生石膏$ 六一散等,主治湿热内蕴$ 热重于湿所致的急性皮肤病， 如急性湿疹$ 过敏性皮炎$ 药疹$ 带状疱疹$ 疱疹样炎$ 丹毒$ 玫瑰糠疹等。 ,,,,,
26,赵炳南,"李伯华,曲剑华,张广中,张苍.清热除湿$凉血解毒法治疗癣菌疹体会[J].中医杂志,2014,14:1238-1240.",癣菌疹,脚湿气,,,除湿清热解毒,土槐饮,土茯苓$ 槐花 $ 甘草,主治亚急性及慢性皮炎 $ 脂溢性皮炎 $ 银屑病等 。,,,,,
27,朱仁康,"李晓宏.清热凉血养阴法治疗面部激素依赖性皮炎32例[J].光明中医,2013,06:1158-1159.",面部激素依赖性皮炎,药毒,,主观症状: 灼热$ 疼痛$ 瘙痒$ 干燥$ 脱屑和紧张感; 客观症状: 红斑或潮红$ 丘疹$ 脓疱$ 微血管扩张$ 色素沉着或皮肤萎缩。 ,,皮炎汤,生地黄$丹皮$当归$知母$生石膏$玄参$麦冬$连翘$竹叶$甘草,,,,,,
28,赵炳南,"蔡念宁,李敏,张广中,王倩,周守红.祛湿健发汤治疗男性型脱发36例疗效观察[A].中华中医药学会皮肤科分会.中华中医药学会皮肤科分会第五次学术年会;全国中医$中西医结合皮肤病诊疗新进展高级研修班论文集[C].中华中医药学会皮肤科分会:,2008:3.",脱发,脱发,脾虚湿盛型,"头发油腻 , 往往数根头发粘着 , 毛发稀疏脱落 , 伴纳呆 $ 大便粘滞 , 舌淡红 , 舌体胖边有齿痕 , 脉滑 ",健脾祛湿,祛湿健发汤,"炒白术15g,泽泻10g,猪苓15g,萆薢15g,车前子10g,川芍10g,赤石脂12g,白鲜皮l5g,桑葚10g,干生地12g,熟地12g,首乌藤15g。",,,,,,
29,赵炳南,"张小薇.全虫方加减治疗结节性痒疹的疗效观察[A].中国中西医结合学会皮肤性病专业委员会.2009全国中西医结合皮肤性病学术会议论文汇编[C].中国中西医结合学会皮肤性病专业委员会:,2009:1.",结节性痒疹,,,,,全虫方,,,,,,,
30,赵炳南,"尚毅,高扬,路建伟,薛长莲.全虫方加减治疗老年皮肤痒疹症58例[J].山东中医杂志,2013,01:27-28.",老年痒疹,,,全身或局部皮肤呈阵发性剧烈瘙痒无原发性损害；皮肤因强烈搔痒而遍布抓痕，伴血痂苔藓样变及色素沉着。秋$冬季多见,,全虫方加减,全蝎5 g，皂角刺10 g，当归15 g，乌梢蛇10 g，苦参15 g，白鲜皮15 g，刺蒺藜15 g，防风15 g，地肤子20 g，甘草10 g。,,皮肤痒无定处，挠抓后似有皮屑状，呈明显白色，口干，舌红苔薄黄，脉细数或沉弦数者，全蝎加为10 g，加蝉蜕15 g$紫草15 g$浮萍15 g$竹叶15 g$栀子15 g；皮肤瘙痒，抓痕结痂，舌红苔黄腻，脉滑或滑数者，加苍术30 g$栀子15 g$茵陈30 g；皮肤瘙痒时轻时重，经久不愈，舌有瘀斑，脉弦细者，全蝎加为10 g，加郁金15 g$赤芍10 g$香附10 g$黄芪15 g。,,,,
31,赵炳南,"徐惠祥.全虫方治疗皮肤瘙痒62例疗效观察[J].甘肃中医,1993,03:27-28.",皮肤瘙痒症,,,,,全虫方,全虫$皂刺$猪牙皂角$刺蒺藜$炒槐花$苦参$白鲜皮$黄柏$威灵仙,,"疹痒较重, 部位不变, 时隐时现,发病迅速者加防风$蝉衣; 肢怠懒移, 身重乏力, 口粘苔腻者加地肤子$木瓜$苍术; 烦躁不安, 面红肤热, 小搜黄赤, 大便秘结者加双花$蒲公英$土获菩; 病程较久, 痰痒严重, 或见皮损, 舌质暗紫或淤斑者加丹参$赤芍$牛膝。",,,,
32,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",带状疱疹$急性湿疹$亚急性湿疹$传染性湿疹样皮炎$接触性皮炎$脂溢性皮炎,缠腰火丹$湿疡,,,,加减龙胆泻肝汤,龙胆草， 青连翘， 干生地， 车前子， 淡黄芩， 生桅子， 粉丹皮， 泽泻， 苦木通， 生甘草,,,,,,
33,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",带状疱疹$慢性湿疹$亚急性湿疹$神经性皮炎$皮肤瘙痒症$银屑病,湿盛型缠腰火丹$湿疡$白疙,,,,加减除湿胃苓汤,苍术 厚朴 陈皮 滑石 炒白术 猪苓 炒黄柏 炒积壳 泽泻 赤芍 炙甘草,,,,,,
34,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",盘状红斑狼疮$玫瑰糠疹$多形性红斑$红斑性皮肤病,风癣$血风疮,,,,凉血五花汤,红花 鸡冠花 凌霄花 玫瑰花 野菊花,,,,,,
35,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",多形性红斑$丹毒$紫癜$结节性红斑$红斑类皮肤病,血风疮$瓜藤缠 ,,,,凉血五根汤,白茅根， 瓜萎根， 茜草根， 紫草根， 板蓝根,,,,,,
36,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",慢性荨麻疹,,,,,多皮饮,地骨皮， 五加皮， 桑白皮， 干姜皮， 大腹皮， 白鲜皮， 粉丹皮， 赤芍皮， 冬瓜皮， 扁豆皮， 川楝皮,,,,,,
37,赵炳南,"陈凯.全国著名中医皮外科专家赵炳南教授临床经验及特色疗法[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:6.",慢性湿疹$阴囊湿疹$神经性皮炎$结节性痒疹$慢性顽固瘙痒性皮肤病,,,,,全虫方,全虫， 皂刺， 猪牙皂角， 刺蒺藜， 炒槐花， 威灵仙， 苦参， 白鲜皮， 黄柏,,,,,,
38,赵炳南,"雷文炳,雷全旺.软疣液外治传染性软疣50例[J].中国皮肤性病学杂志,1994,04:255.",传染性软疣,,,,,软疣液,地肤子20$狗脊10$白鲜皮20$板蓝根20$木贼草10$甘草5,,,,,,
39,赵炳南,"冯石松.体癣治验[J].四川中医,1992,06:39.",体癣,,,,,斑蛰醋浸剂,"全蝎16 个, 斑蝥12个, 皮硝220克,乌梅肉30克, 米醋50克。",,,,,,
40,王玉玺,"杨素清,张婷婷,闫景东.王玉玺教授从“风”论治银屑病的经验[J].时珍国医国药,2013,02:460-461.",银屑病,白疕,,,,祛风败毒汤,荆芥10g，防风10g，苍耳子10g，羌活10g，独活15g，威灵仙15g，当归12g，川芎10g，乌梢蛇30g，蜈蚣2 条，白鲜皮15g,,,,,,
41,朱仁康,".卫生部甲级成果奖获得者朱仁康研究员效方[J].医学文选,1993,03:48.",急性湿疹$脂溢性皮炎$药物性皮炎,,湿热型,,,龙蚤清渗汤,龙胆草10克$蚤休30克$黄芩10克$炒山桅10克$丹皮15克$鲜生地30克$赤芍12克$白薄皮30克$地肤子30克$苦参15克$六一散15克(包)。,,,,,,
42,赵炳南,"王惠英,张炳厚.五皮五藤饮在临床的应用[J].北京中医,1992,05:28-30.",瘾疹,瘾疹,,,,五皮五藤饮,丹皮$白鲜皮$海桐皮$地骨皮$桑皮$海风藤$天仙藤$夜交藤$双钩藤$青风藤,,,,,,
43,魏跃钢,"吴学春.魏跃钢论治雄激素性脱发经验[J].河北中医,2011,01:10-11.",脱发,脱发,,"发质较油, 皮屑较多, 头皮瘙痒",,海艾汤,艾叶$菊花$蔓荆子$薄荷$荆芥穗$防风$藿香$甘松$藁本,,,煎水外洗,,,
44,魏跃钢,"吴学春.魏跃钢论治雄激素性脱发经验[J].河北中医,2011,01:10-11.",脱发$脂溢性皮炎,脱发,,,,白屑风酊,蛇床子$苦参$侧柏叶$薄荷,,,外搽,,,
45,魏跃钢,"吴学春.魏跃钢论治雄激素性脱发经验[J].河北中医,2011,01:10-11.",脱发,脱发,,,,生发酊,土荆皮$骨碎补$樟脑,,,,,,
46,许铣,"周渐云.许铣教授治疗斑块状银肩病经脸介绍[J]新中医 2005,37(10):14-15",银屑病,白疕,,"适用于斑块状银屑病患者皮肤损害, 皮损暗红, 有中等量鳞屑, 痒或不痒, 舌质暗红, 脉涩或细缓。",活血凉血$解毒祛痕,丹蛇解毒汤,丹参$乌梢蛇$赤芍$白芍$土茯苓$草河车$郁金$石斛$白花蛇舌草$苍术$茯苓$甘草,,,,,,
47,赵炳南,"曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3.",带状疱疹$亚急性湿疹$急性湿疹$神经性皮炎$皮肤瘙痒症$银屑病$疱疹性皮肤病$渗出性皮肤病,,脾虚湿盛,"面色无华,饮食不香,纳差,大便溏薄,小便不黄,或有腹胀等脾胃症状,舌质淡,边有齿痕,苔薄白或白腻,脉濡滑等。",健脾燥湿,除湿胃苓汤,苍术6g$厚朴6g$陈皮9g$滑石块12g$炒白术12g$猪苓12g$炒黄柏12g$炒枳壳9g$泽泻9g$赤苓12g$炙甘草9g。,,,,,,
48,赵炳南,"曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3.",手足汗疱疹$静脉炎$慢性湿疹,,脾肺气虚挟湿,"脾胃虚弱$肺气不足引起的饮食减少$体倦少力$短气心悸,以及呕吐泄泻等症",健脾渗湿,参苓白术丸,人参15g(党参为40g)$白术20g$茯苓20g$炙甘草15g$陈皮12g$山药25g$炒扁豆25g$炒苡仁30g$莲米20g$砂仁15g$桔梗12g$大枣6枚,,,,,,
49,赵炳南,"曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3.",水肿,皮水,脾虚湿盛$气滞水停,"主治皮水,一身悉肿,肢体沉重,心腹胀满,上气促急,小便不利,舌苔白腻,脉沉缓者。亦可用治妊娠水肿。",行气健脾$利水消肿,,"生姜皮$桑白皮$陈橘皮$大腹皮$茯苓皮各等分共为粗末,每次9克",,,"共为粗末,每次9克,水煎去滓温服,不拘时候。忌生冷油腻硬物。",,,
50,赵炳南,"曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3.",亚急性湿疹$慢性湿疹$盘状湿疹$阴囊湿疹$下肢溃疡$女阴溃疡$糜烂性龟头炎$脂溢性脱发,,,水湿壅盛$小便不利,健脾除湿,健脾除湿汤,生薏米15g$生扁豆15g$山药15g$芡实9g$枳壳9g$萆薢9g$黄柏9g$白术9g$茯苓15g$大豆黄卷9g。,,,,,,
51,赵炳南,"曲剑华,姚卫海.谈赵老从湿论治皮肤病[A].中华中医药学会.中华中医药学会皮肤科分会第六次学术年会$赵炳南学术思想研讨会$全国皮肤科中医外治高级研修班论文集[C].中华中医药学会:,2009:3.",疱疹样皮炎$天疱疮$亚急性湿疹$脂溢性皮炎$接触性皮炎$脓疱疮,疱疹,偏于湿热而湿重于热者,,清脾除湿,清脾除湿饮,茯苓9g$白术gg$苍术9g$生地30g$黄芩9g$麦冬9g$桅子9g$泽泻9g$生草6g$连翘15g$茵陈12g$元明粉9g$灯芯3g$竹叶3g$枳壳9g,,,,,,
