ID,人名,疾病,临证经验,资料来源
51,陈彤云,损容性皮肤病,陈老在临床实践中认识到， 现代人生活水平逐渐提高，饮食结构和习惯也有了很大变化，人们如果饮食不节，酒酪为浆，日久则生痰化热。正如《内经》云：“高梁之变，足生大丁，受如持虚。”由此导致的皮肤病早期多为实热证，故陈老善用清热之法。如清热凉血、清热解毒、清热疏风、清热养阴、清热安神、清热渗湿、清热利湿、通腑泻热等，都是临床实践中陈老应用较多的方法。常用中药有金银花、连翘、栀子、黄芩、黄连、黄柏、生地、赤芍、牡丹皮、生石膏、知母、白茅根、夏枯草、紫草、茜草、丹参、龙胆草、藿香、佩兰、薏苡仁、茯苓、猪苓、白术、白扁豆、金钱草、滑石、车前子、车前草、白鲜皮、地肤子、茵陈、扁蓄、瞿麦、生大黄等。,"曲剑华, 陈勇.陈彤云治疗损容性皮肤病医案[J].北京中医药,2010,29(9):705-707"
52,陈彤云,痤疮,"特别重视此病与饮食的关系, 认为本病皆因饮食失节, 过食肥甘厚味致肺胃热盛、脾湿内蕴, 外发肌肤所致。通过对陈彤云教授临床治疗痤疮方剂的分析发现, 陈老在临床上根据中医辨证论治理论将病情进行分型, 大体分为3 型, 二是肺胃热盛, 三是脾湿内蕴, 一是痰湿聚结。肺胃热盛者方中大量运用清肺胃热药, 如桑白皮、炙杷叶、黄芩、黄连、栀子、双花、连翘等;脾湿内蕴者方中多用生薏米、生扁豆、茯苓、白术、芡实、萆薢、枳壳、黄柏等健脾除湿药;痰湿聚结者多用活血软坚散结药味, 如当归、海藻、玄参、贝母、夏枯草、大黄等。随症加减用药:痒重加白鲜皮、苦参;皮脂溢出多者加蛇舌草、生白术、生薏米、生枳壳;大便干加生军、瓜蒌;结节囊肿多者加鬼箭羽、三棱、莪术、连翘等;感染重者加公英、地丁、羚羊粉;女性月经不调加丹参、香附、坤草等。同时嘱患者服药治疗期间节制饮食, 忌食辛辣刺激、肥甘厚味之品。充分体现了中医治病的整体观和辨证论治思想。","刘清.陈彤云治疗痤疮临床经验总结[J].北京中医,2000，(6):5-6"
53,赵炳南,湿疹,赵氏首先在参照古代医家分湿疮为干敛、湿敛两大类的基础上，首先将湿疹分为两型，即：热盛型和湿盛型，后又有热重于湿型、湿重于热型、脾虚血燥型的引申。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
54,朱仁康,湿疹,朱氏则分湿疹为3 型，即：湿热内蕴证、脾虚湿盛证、阴伤湿恋证。对湿疹中医证候的基本分型被广泛认同，并沿用至今。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
55,张志礼,湿疹,"张志礼等指出湿疹与接触性皮炎、特应性皮炎等不同，常难以明确原因，而皮炎却往往原因比较明确，还特别强调湿疹与皮肤T 细胞淋巴瘤早期、乳房或乳房外湿疹样癌鉴别诊断。虽然这些疾病初期皮肤症状相近，以中医辨证可异病同治，但因各为“异病”，病因、病理基础、预后大相径庭，强调与湿疹的鉴别诊断非常必要。又如近来，嗜酸性粒细胞增多性皮炎发病率的上升与挪威疥的延误诊断，临床强调其与湿疹的鉴别，亦是佐证。""","李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
56,李林,湿疹,李林指出辨病为一级诊断，辨证为二级诊断，并注重对皮损和瘙痒的辨证，其思路符合现代医学强调湿疹鉴别诊断的要求。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
57,唐定书,湿疹,"唐定书根据湿疹的发展规律，又提出急性期以辨病为主，亚急性期、慢性期以辨证为主，小儿湿疹以体质辨证为主。""","李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
58,朱仁康,湿疹,朱氏强调湿疹的发病有内因与外因两方面，尤重内因致病，并指出湿疹的病因不外乎风、湿、热三邪，但有内、外之分。内风、内湿、内热，系由脏腑气血功能失调所生， 为发病的基础， 为本； 外风、外湿、外热，属外感六邪气，为致病的条件，为标。内风湿热的存在易招致外风湿热的侵袭， 相反外风湿热的侵袭又引动内风湿热，相互搏结，壅聚于体表肌肤而发病。他还指出本病多由禀赋不足而生，风、湿、热三邪之中首重湿邪，而内湿尤为关键。以湿为主的病损，常以大量渗出为主要表现，又可分为湿热内蕴及脾虚湿蕴两型，内湿的产生多责之脾，脾主湿而恶湿，脾虚则水湿不化。外湿可引动内湿，内湿能招致外湿。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
59,赵炳南,湿疹,“湿”是湿疹发病的主要因素。对于湿邪，一般辨证局部有渗出液而瘙痒明显的皮损为湿盛。但对于没有渗出，皮损表现为肥厚、粗糙、高出皮面者，如慢性湿疹，赵氏仍从湿论证。他认为：“湿有内湿、外湿，湿邪蕴久可以化热生虫，湿热凝固聚结于肌肤腠理之间，则皮肤粗糙肥厚，瘙痒明显，可谓之“顽湿”。湿性黏腻，故反复发作缠绵不愈。所以不能单纯根据有无渗出而辨湿，应当根据其发病的机理和临床特点来看， 这一点在临床上是很重要的。”说明内部水湿不化，津液不能输布，肌肤失于濡养，所以发生干燥、脱屑、瘙痒。因此，需甄别“湿邪内阻”与“燥像外显”之证象。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
60,艾儒棣,湿疹,艾儒棣亦认为本病的病因病机论述虽多，但离不开一个“湿”字，在治疗本病时要以“治湿”为主，即使是阴虚血燥之证，亦当虑其湿恋未去，治疗中当顾及于此。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
61,赵炳南,湿疹,赵氏认为“痒”是许多皮肤病的共性，必有共同的致痒病机。“痒为痛之渐”，既有“不通则痛”“不荣则痛”“久痛入络”之说，又有“不通则痒”“不荣则痒”“久痒入络”之意。顽湿疡即为久痒入络，表现为深痒。并发现有些患者服用全虫方后，深痒渐转为浅痒。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
62,李林,湿疹,李林细辨瘙痒，更指出：一曰心气，如《素问·至真要大论》曰：“诸痛痒疮，皆属于心。”由于心主神明，若精神紧张，可诱发瘙痒。又《灵枢·刺节真邪》曰：“搏于皮肤之间，其气外发，腠理开，毫气摇，气往来行，则为痒。”故认为风湿热诸邪气往来行于肌肤腠理之间均可致痒，并描述了心痒、风痒、湿痒、热痒、燥痒临床证候特点，由此拓展了湿疹辨痒的新思路。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
63,赵炳南,湿疹,赵炳南认为： 湿疹虽形于外而实发于内，多由于饮食伤脾，外受湿热之邪而致。辨证时，很重视标本兼顾，既重视湿热的外在表现，又重视脾失健运的根本原因。在具体治疗时，多清热利湿，先治其标，待湿热消退后，则健脾利湿，助其运化以治其本。通过标本兼治，使机体内部的运化机能恢复正常，故能从根本上治疗本病。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
64,陈凯,湿疹,陈凯更创“清调补理论”，并推龙胆泻肝汤、除湿胃苓汤、当归饮子为清、调、补三法治疗湿疹的代表方，针对正邪斗争的不同状态及标本虚实，把这三首赵氏最常用的方剂顺序应用于湿疹急、亚急、慢性三阶段的治疗。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
65,赵炳南,湿疹,赵炳南认为在湿疹发病过程中“湿”是主因，兼挟他邪，并指出：治湿法应全程贯穿于湿疹各期。即使在湿疹的慢性期，皮肤出现干燥、粗糙、肥厚、角化等一系列燥象而无水疱、渗出、糜烂等情况下，属于在外湿邪不显，内湿仍在，仍用治湿之法。他曾论：“正是因为湿邪有重浊、黏腻的特点，因此，病理过程迁延日久，湿邪停滞，日久化燥，肌肤失养，是导致慢性肥厚性皮肤病的关键，故仍以治湿为本”。利湿之法实为给所化除之湿邪以排出通道。赵氏认为湿疹当利之时则利，常用车前子、猪茯苓、防己、泽泻、萆薢等利湿之品。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
66,朱仁康,湿疹,在对利湿药的运用上，朱氏则引用古人“治湿不利小便，非其治也”之言，在治疗时非常注重利小便而给湿邪以出路，常用茯苓、车前子、泽泻，且常用六一散代替甘草。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
67,朱仁康,湿疹,"滋阴与除湿并举。朱氏从虚论治本证，多见于慢性、亚急性湿疹。病情迁延，渗水不多但持日较久，皮肤浸润，干燥脱屑，瘙痒不止，略有出水，舌质红绛而少津，脉细滑或弦细。朱氏将本证辨证为阴伤湿恋，并以滋阴除湿之法治疗。滋阴除湿法看似矛盾，一般以为滋阴能助湿邪，利湿可伤阴血。若病程缠绵，渗水日久，湿邪未除，阴液已伤，此时仅用滋阴养血则腻滞恋湿，如仍投渗利苦燥则更伤阴血，或滋或渗，治有两难。朱老针对上述复杂病情的辨证特点，确立滋阴除湿法，并自拟滋阴除湿汤，标本兼顾，滋渗并施。
笔者认为此治湿法则的阐明为朱氏对当代中医皮肤科的重要贡献，仅理解为治湿免于伤阴仍属浅见，其实质在于阐明：“阴血分”内存为正常生理状态，而“湿邪”留滞为病理变化。如同“血证”中的溢血属于“离经之血”，湿疹中的湿邪泛溢、蕴阻、交结当属“叛道之液”，两者之间从化生、循行、征兆等诸多不同。故区别对待湿疹阴伤证中的“阴虚”与“湿阻”，治疗中保证阴血充盈与祛湿并无矛盾。","李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
68,李辅仁,湿疹,李辅仁认为：湿疹是因体内蕴湿与湿热外邪相搏结而发病，但其根本均有脾失健运、水湿内蕴、湿困脾土的一面，故在治疗上重视健脾利湿。并进一步明确治疗中健脾的“主次”，如热盛型病急、标为重，“急则治其标”，清热利湿、凉血为主，可少佐健脾燥湿之品；而湿盛型、血虚风燥型，其本为脾虚湿困，应健脾利湿，佐以清热凉血。,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
69,朱仁康,湿疹,虫类药的应用：全虫方为赵炳南经验方，适用于慢性湿疹等。朱仁康亦擅用虫类药物搜剔之法，创立乌蛇驱风汤治疗本病。禤国维使用虫类药更有独到经验，常选蝉蜕、乌蛇、全蝎、地龙等。他认为以虫药善行之性入络剔毒，同时虫类药物还兼有搜风活血除湿等多种功效，正所谓“辄仗蠕动之物，以松透病根”；又指出虫类药物多为动物蛋白，具有较强抗原性，湿疹患者往往对抗原性物质高度敏感，应用不当也可致病情加重。应用虫类药必须注意方中须有能解虫毒之品，如酌加苏叶，既可祛风止痒，又可解虫毒，一举两得。且虫类药物多有小毒，长期服用，有药不胜毒之虑。故禤氏用虫类药物积极而慎重，若为病情需要，一般从小剂量起，逐渐少量递增，使患者有一个脱敏过程,"李红兵,徐萍,王晓红.当代名家湿疹内治要点概述[J].江苏中医药,2014,08:78-81."
70,陈勇,寻常型银屑病,"陈师认为寻常型银屑病患者血分有热是发病的内在因素，而血热的形成又有多种原因：可以因七情内伤，气机壅滞，郁久化热；心火亢盛，毒热伏于营血；或过食辛热食物，以致脾胃失和气机不畅，日久化热郁于血分。血分有热，复外受风邪或挟燥热之邪而引发本病。热壅血络则发红斑；风热燥盛，肌肤失养，则皮疹脱屑，色白而痒；疾病反复发作迁延不愈，热毒日久，耗伤阴血，营血阴液亏虚，生风化燥，可致银屑病反复发作经久不愈。若治疗不当或病程日久，气血失和，经脉阻隔，可导致皮损肥厚，鳞屑坚固，皮肤似牛皮样坚固。所以陈师认为银屑病的发病原因不能简单地以血热概括，主张根据疾病的不同分期、皮损的不同表现以及患者的全身症状把银屑病分为血热、血燥、血瘀3 个证型。而三者非孤立存在，相互之间可以转化。清代医家王清任在《医林改错》中说“血得热则煎熬成块”，血热可导致血瘀；风邪燥热之邪久羁，阴血内耗，血枯燥而难荣于外导致血燥。
","杨燕灵. 陈勇治疗寻常型银屑病经验[J]. 北京中医药,2013,08:583-584."
71,朱仁康,银屑病,"古代文献中对本病的病因病机多有记载, 且大多从风邪及血燥立论而朱老强调, “ 血分有热” 是银屑病的主要发病原因, “ 血热” 病机贯穿银屑病治疗的始终: “ 血分有热” 实际是由气分有热, 郁久化毒, 波及营血而成, 与温病的“ 热人营血” 不同本病是由于素体血中蕴热, 复感风热毒邪, 或态食腥发动风之物, 或情志内伤, 五志化火。两阳相合, 内不能疏泄, 外不得透发, 潘灼血液, 充斥体肤, 佛郁肌揍, 发为白疟。日久则耗伤阴血, 而致阴虚血燥, 肌肤失养; 而经脉闭塞, 血瘀脉络, 可存在于白疙的各期.银屑病辨证分型方法很多.朱老认为, 虽然临床表现各异, 但以血热风燥证、血虚风燥证最为多见, 风湿阻络证、湿热化毒证临床亦可见到.","宋坪,李博鉴.从血论治诸法合用——朱仁康研究员治疗银屑病经验(一)[J].中国中西医结合皮肤性病学杂志,2004,01:1-2."
72,张志礼,带状疱疹,"重扶正固本、行气活血、化瘀解毒。1 重视辨证分型, 内外兼治张师常分肝胆湿热型、脾虚湿盛型、气滞血瘀型三型论治。肝胆湿热型临床最多见, 症见急性起病, 局部皮损鲜红, 水疱紧张兼有血疱, 灼热刺痛, 伴心烦口渴, 口苦, 纳呆, 溲黄便干, 舌质红, 苔黄, 脉弦滑数。治以清热利湿, 行气活血, 解毒止痛。药用龙胆泻肝汤加减。脾虚湿盛型表现为患者平素脾胃虚弱, 病后水疱颜色较淡, 疼痛较轻, 口不渴, 不思饮食, 食后腹胀满, 大便不干或溏。女性患者白带多而清稀, 舌质淡, 舌体胖嫩, 苔白厚或腻, 脉沉细或缓。治以健脾除湿, 行气活血, 解毒止痛。药用除湿胃苓汤加减。气滞血瘀型症见急性发病, 疼痛剧烈且持续不缓解, 皮疹色暗红或结血痂, 或皮疹不明显, 仍有疼痛, 舌质暗红, 或有瘀斑, 苔白, 脉弦细或弦缓。张教授认为此型多属毒邪偏盛, 虽经治疗, 毒热未尽或气阴两伤致气滞血瘀, 治宜清解毒热, 行气活血, 通络止痛。药用活血散瘀汤加减。2　行气活血贯彻始终本病多有神经疼痛之证。张师认为此证是因气滞血瘀, 经脉阻隔所致。在治疗方面, 以气血相关立论,而行气活血化瘀止痛为法贯彻治疗的始终。在上述三个证型中,均使用行气活血的药物, 旨在气行血行, 血脉通利, 疼痛消除。1.3　疑难病症中西结合老年病者, 由于脏腑功能虚衰, 气血失和, 皮疹泛发伴高热等全身症状明显。张师常采用中药内服, 并配合小剂量皮质激素、抗感染三联治疗, 使病变部炎症早期消退,神经根炎早期吸收, 减轻病毒对神经节和周围神经的毒性破坏作用, 从而减少后遗神经痛。有的学者不主张应用激素, 认为激素可使疱疹病毒扩散或继发感染。张教授认为在运用中医治疗的同时, 只要严格掌握激素适应证, 早期使用, 注意剂量及疗程, 只会促进病情痊愈, 不会发生并发症。","钱江,杨柳. 当代名医论治带状疱疹经验荟萃[J]. 时珍国医国药,2005,09:932-933."
73,赵炳南,湿疹,"善治湿疹：赵老常言“善治湿疹者,当可谓善治皮肤病之半。”对于皮损表现为粗糙肥厚、瘙痒明显、无渗液的慢性湿疹,赵老谓之顽湿,认为湿邪粘滞,故反复发作,缠绵难愈,不可单纯根据有无渗出而辨湿。据此创立了祛湿方系列：（1）风湿相兼者选用疏风除湿汤：芥穗、防风、蝉衣、惹茵仁、积壳、白术、黄柏、车前子、车前草、菊花, 突出芥穗、防风、蝉衣散风除湿消肿之功。（2）湿毒相搏者选用除湿解毒汤：白鲜皮、大豆黄卷、薏苡仁、土茯苓、栀子、丹皮、金银花、连翘、地丁、木通、滑石块、甘草,利湿、清热、解毒并用,发挥协同之功。（3）脾虚湿盛者,则选用健脾除湿汤：薏苡仁、生扁豆、山药、芡实、枳壳、萆薢、黄柏、白术、茯苓、大豆黄卷,突出生薏苡仁、生扁豆、芡实、白术健脾除湿之要。（4）见风湿之邪深人肌腠,选用搜风除湿汤：全虫、蜈蚣、海风藤、川槿皮、炒黄柏、炒白术、炒薏苡仁、枳壳、白鲜皮、威灵仙, 突出全虫、蜈蚣搜剔深人风邪之效,辅以白鲜皮、海风藤、威灵仙祛风通络。诸方各有侧重,针对不同证型而分疏风、解毒、健脾、搜风除湿之别,亦说明湿性粘不易祛除, 体现了赵老运用除湿法则的层次。","王天怡,庞博,宋坪. 当代中医皮外科名家学术特色与流派探讨[J]. 北京中医药,2012,10:746-750."
74,赵炳南,神经性皮炎,"认为本病发病的根本是脾经湿热或肺经风毒客于肌肤腠理之间,复感风摄热邪所致。热盛则肌肤起痕,风盛则明显瘙痒,湿性粘滞故时起时伏,缠绵不愈。一般局部有渗出而瘙痒明显的皮损为湿盛,而神经性皮炎一般没有渗出,为何辨为有湿?赵老认为湿有内湿、外湿之分,湿为重浊有形之邪,其性粘腻,湿邪蕴久可以化热,湿热凝固聚结于肌肤腠理之间,则皮肤粗糙肥厚、瘙痒。神经性皮炎以内湿为主,湿性粘腻,不易祛除,常反复发作,缠绵不愈,可谓之“顽湿”。所以赵炳南先生强调不能单纯根据有无渗出液而辨有无湿邪,应当结合其病机和临床特点辨证论治。","金奇英.黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察[D].北京中医药大学,2010."
75,朱仁康,神经性皮炎,"认为本病以内因为主,七情内伤,心绪烦扰,内生心火等内因而致本病。初起皮疹色较红,瘙痒较剧烈,多因心主血脉,心火亢盛,则邪热伏于营血,产生血热,血热生风,风盛则燥,属于血热风燥。病程迁延日久,皮损肥厚,纹理加重,呈苔鲜化者,多因久病耗伤阴血,血虚生风,风盛则燥,属于血虚风燥。朱仁康认为,泛发性神经性皮炎应以内治法为主,局限性神经性皮炎应以外治法为主,亦可内服以辅助治疗,可分为三型:血热型、风燥型、风盛型。(1)血热型:由于心经有火,血热生风,风胜则痒。症见成片红色小丘疹,痒甚,舌质红,苔薄白,脉弦滑。治宜凉血清热,消风止痒。(2)风燥型:由于日久风燥伤血,肌肤失养所致。症见:瘙痒无度,皮肤浸润肥厚,呈苔鲜化,舌淡苔少,脉细滑。治宜养血润燥,消风止痒。(3)风盛型:因于风邪郁久,未经发散,蕴伏肌腠所致。症见:几年至几十年顽固之症,周身剧痒,状如牛领之皮,舌质红,苔黄,脉弦。治宜搜风清热。","金奇英.黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察[D].北京中医药大学,2010."
76,赵炳南,慢性湿疹,"认为本病,夹风者,游走不定,瘙痒明显,弥漫散发;湿热化火者,皮损鲜红肿胀流水;又因湿性重着粘腻,故缠绵不愈,经常复发。在辨证施治上,赵老认为成人湿疹可分为热盛型和湿盛型两大类,但两型不能截然分开,可以相互联系、相互转化。
中药外用药物疗法：赵炳南先生对急性、亚急性湿疹或慢性湿疹急性期有红斑、丘疹、无渗出者,外扑止痒粉、六一散、松花粉;有糜烂、渗出者,以马齿觉水剂、龙葵水剂湿敷,然后以植物油调祛湿散或新三秒散外用。慢性湿疹皮损肥厚、角化不明显者,可用普连软膏、止痒药膏各半混匀或用大枫子油、普榆膏;慢性湿疹肥厚、角化、粗糙者可用黑豆馏油软膏、稀释新拔膏或癣症熏药。","金奇英.黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察[D].北京中医药大学,2010."
77,张志礼,慢性湿疹,"在治疗湿疹时,根据湿疹的发病特点,抓住湿疹的主要病机,即湿与热阻滞,以及后期生风化燥,辨证施治。在辨证论治上,张老将本病分为四型:湿热并重证、脾虚湿盛证、血虚风燥证、胃肠积滞证。","金奇英.黑色拔膏棍治疗局限性神经性皮炎及慢性肥厚性湿疹的临床疗效观察[D].北京中医药大学,2010."
78,陈彤云,粉刺,"陈彤云老师认为火热之邪是本病发生的主要致病因素;先天享赋不足、后天饮食不节以及情志内伤是本病病机之关键;以“清”为法,包括清肺热、平胃热、利肠湿,泻肝火;在《内经》、《温病条辨》的理论墓础上将本病辨证分为肺胃湿热、脾虚湿盛、痰湿凝结三证;并重视整体观、脏腑及气血辨证,将本病定位在肺、脾、肝三脏;通过对处方中药味的统计分析,总结出陈彤云老师治疗本病的基础方剂组成;方以茵陈篙汤、黄连解毒汤加减而成,主要药味有茵陈、连翘、野菊花、丹参、黄柏、黄连、虎杖、百部;药味选择方面以清热解毒、清热燥湿、清热泻火药味为主;常用药味在性味归经方面以苦、甘、寒、辛主,以入肺经、脾胃经、肝经为主,完全对应了其将本病定位于肺、脾、肝的学术思想。
","刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."
79,陈彤云,薰黑斑,"陈彤云老师认为,“头为诸阳之会”,气血充盈之地,“五脏六腑十二经血,皆上于面”,故人体脏腑功能失调,经脉阻滞,气血不足,即可反应到面部,故本病的发生与人体脏腑功能失调息息相关,尤与肝、脾、肾三脏功能失调关系最为密切。而气血瘀滞、运行不畅是病机之关键。无论肝、脾、肾三脏,任何一脏功能失调,皆可导致气血运行不畅成瘀,如肝郁则气滞,气机不畅必然导致瘀;脾虚运化失司,无力鼓动气血正常运行,久必致瘀;肾气虚衰,则气化不利,温煦不足,可致阴阳失衡,阴阳失于平衡,则气机逆乱,久则瘀成;同时根据“久病入络”的中医理论,本病病程多久,则“久病必瘀”。综上陈彤云老师在本病的病因病机中强调“有斑必有瘀,无瘀不成斑”。
","刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."
80,陈彤云,白疕,"陈彤云老师对本病之病因病机认识有自己的独特之处。受温病学理论的影响,对于热性病热邪致病的特点理解充分,热邪对“易伤阴分”尤为重视。认为本病乃慢性反复发作之证,病久阴血必会被耗而出现化燥生风之病机,因此主张无论对于初发还是复发的患者,其疾病发展的趋向总会损及阴分,故虽处于急性发作时,血分热盛、阴伤不显仍不能不顾及阴分。她认为本病大多病史久,迁延难愈,久病必伤及阴分,故此类病患常伴有皮损干燥、口干、舌红少苔等阴血不足的表现,治疗上注重滋养阴血,常选用生地、元参、麦冬、沙参、石斛、天花粉、玉竹、黄精等;对阴损至极者,为增强养阴之力,亦会选用白芍、乌梅、五味子、甘草等药味以酸甘化阴.在重用养阴药的同时,她也注意辨证配伍用药.如患者脾胃虚弱,用养阴药易出现腹胀、便溏者,加用太子参、山药、厚朴、砂仁、陈皮等健脾理气化湿之药;阴虚内热,则加青篙、地骨皮,可较好地清除虚热;阴虚生风而产生瘙痒则加入白蒺藜、生龙齿平肝息风,止痒效果较好;兼有湿邪,则选用茵陈、冬瓜皮、薏苡仁等药味,既可淡渗利湿,又不伤阴;兼瘀血阻络,常使用藤类药,如鸡血藤、首乌藤、忍冬藤,三藤并用,既可养阴血,又有很强的化瘀通络作用。又与现代中药药理学研究藤类药有免疫调节作用相吻合。","刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."
81,陈彤云,湿疮,"本病常因饮食失节或过食腥发动风之品,伤及脾胃,脾失健运,致使湿热内蕴,造成脾为湿热所困,复感风、湿、热邪,内外两那相搏,充于腆理,浸淫肌肤,发为本病。湿性重浊粘腻,易耗血伤阴、化燥生风,故病史长,多缠绵不已,反复发作。在湿疮的病因病机中,湿邪是最主要的致病因素。湿邪有外湿、内湿之分。外湿是指存在于自然界的湿气,四季中以长夏时期湿气最盛,所以长夏多湿病,外湿伤人,除与季节有关外,还与生活环境、工作性质等有关,如居处潮湿、水上作业、涉水淋雨等都可能成为感受湿邪的条件。内湿多由脾失健运,水谷津液运化转输的功能受到障碍,蓄积停滞而成,《素问》云:“诸湿肿满皆属于脾”,湿为阴邪,易伤阳气,阻碍气机;其性重浊、粘滞,致病常伴见肢体沉重、酸困的症状以及分泌物秽浊不清,小便混浊、大便澹泄等现象;其粘滞之性多体现在病程长,多缠绵难愈。
陈彤云老师认为:随着人民生活水平的提高,“外湿”致病可以人为地加以改善,而“内湿”致病日渐增多,这与物质的丰富、人们饮食结构、习惯等的改变关系密切。且生活节奏的增快使人们的精神压力增长,情志不畅,势必造成人体气机的紊乱,从而进一步影响脾胃消化功能,使“湿自内生”。
陈彤云老师在临证中善于抓住主证,精准辨证;注意顾护正气,扶正以祛邪;总以清利湿热为主,但会注意“利湿不留邪”以及运用理气药调畅气机,使湿邪得以排出。湿邪是湿疮主要的致病因素,根据病机的演变和临床证侯的特点,陈彤云老师治疗湿疮主要分为热重于湿、湿重于热、脾虚血燥三种证侯。但在疾病发展过程中,各个证侯之间会出现相互转化的情况,临证需注意变通。而且湿邪引发疾病常出现兼夹证,常夹风邪、热邪,且在疾病发生、发展过程中也可出现湿从热化、湿从寒化等许多变证,因此,湿疮的治疗必须以辨证为指导,灵活运用中药的加减变通治疗。
    湿疮可以泛发全身,但有些患者常常局限在身体的某处,这时陈彤云老师会注意使用具有引导药物到达相应部位的“引经药”,以加强整体疗效。如发于头面部者多使用菊花、莫本、川芎等疏风轻扬之品;发于乳房者常使用茵陈、龙胆草等清利肝经湿热药味;发于手掌、肘窝者常使用片姜黄引药直达病所;发于小腿者常使用牛膝、木瓜等引药下行发挥作用;四肢俱重者常使用忍冬藤、桑枝等使药力疏布于四末;发于腰背部者常使用杜仲以强健筋骨,助药力。","刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."
82,陈彤云,皮肤瘙痒症,"陈彤云老师认为不同邪气造成的瘙痒,病机亦有不同。如因禀赋不耐,血热内蕴,外感之邪侵袭,血热生风,因而致热痒;或年老体弱,久病体虚,气血亏虚,风邪乘虚外袭,血虚更易生风,体肤失养,而致血虚之痒;或饮食不节,过食辛辣、油腻、酒类,损伤脾胃,湿热内生,化热生风,内不得疏泄,外不得透达,拂郁于皮肤膝理,而发湿痒;或因情志抑郁,烦恼焦虑,脏腑气机失调,五志化火,血热内蕴,化热动风,而致风痒;或因外受虫邪侵袭,虫蚀肌肤,使气血悖逆,肌肤失养则致虫痒。在诸多引发痉瘙症的因素中，陈彤云老师尤其重视五志化火、脏腑机能失调的病机。心藏神、肝藏魂,人体神志的变化与心、肝二脏的功能活动有密切关系,因此在治疗中常常运用镇肝熄风、安神养心类药味。
陈彤云老师认为本病的辨治的关键在风邪和气血。“风为百病之长”,是瘙痒发生的重要原因,风有内风、外风之别,外风多与六淫之邪有关,又有夹寒、夹热、夹湿之说;内风多与肝阴不足、肝阳上亢、化燥生风或体虚病久、阴血不足、化燥生风所致;也有内外之风兼而有之者,临床上要细辨病因病机,方能准确用药,取得止痒之效。
“治风先治血,血行风自灭”,中医认为是邪伏血分所致,在治疗中不论外风、内风所致,根据辨证加入凉血、养血、活血之品,以透达表里、调和营卫、荣养气血,使气血运行通畅,邪无滞留之地,均取得了较好疗效,因此,从血论治也是治疗疹痒的一个重要原则。由于引起疹痒的邪气不同,治疗各异。
    陈彤云老师治疗本病,基于对其病因病机的分析,重视“肝”、“心”在病理中的重要性,处方选药上常喜用平肝潜阳、重镇安神药味以.息肝风、养心神以止痒。平抑肝阳药味多为质重之介、壳类或矿石类药物,具有平抑肝阳或平肝潜阳之功效。安神养心类药味主入心、肝经,具有镇惊安神或养心安神之效,安神药除具有重镇安神、养心安神作用外,某些药物还兼有清热解毒、平肝潜阳、纳气平喘、敛汗、润肠、祛痰等作用。安神药与平肝抑阳共用,止痒效果显著。","刘清.陈彤云老师学术思想和临床经验总结及治疗粉刺理法方药的研究[D].北京中医药大学,2011."
